Synchrony Financial PE Ratio Historical Data,Synchrony Financial PE Ratio Historical Data,Synchrony Financial PE Ratio Historical Data,Synchrony Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,53.87,,6.31
2024-12-31,65.0,$8.54,7.61
2024-09-30,49.65,$7.66,6.48
2024-06-30,46.71,$7.20,6.49
2024-03-31,42.45,$6.97,6.09
2023-12-31,37.36,$5.18,7.21
2023-09-30,29.64,$5.41,5.48
2023-06-30,32.65,$5.40,6.05
2023-03-31,27.77,$5.68,4.89
2022-12-31,31.19,$6.10,5.11
2022-09-30,26.58,$6.32,4.21
2022-06-30,25.87,$6.85,3.78
2022-03-31,32.41,$7.37,4.4
2021-12-31,42.98,$7.33,5.86
2021-09-30,45.07,$7.09,6.36
2021-06-30,44.53,$5.61,7.94
2021-03-31,37.13,$3.55,10.46
2020-12-31,31.51,$2.27,13.88
2020-09-30,23.55,$2.18,10.8
2020-06-30,19.74,$3.26,6.06
2020-03-31,14.17,$4.44,3.19
2019-12-31,31.5,$5.55,5.68
2019-09-30,29.64,$5.49,5.4
2019-06-30,29.95,$4.80,6.24
2019-03-31,27.56,$4.48,6.15
2018-12-31,20.13,$3.75,5.37
2018-09-30,26.45,$3.15,8.4
2018-06-30,28.21,$2.94,9.6
2018-03-31,28.21,$2.63,10.73
2017-12-31,32.36,$2.41,13.43
2017-09-30,25.9,$2.62,9.89
2017-06-30,24.75,$2.65,9.34
2017-03-31,28.34,$2.62,10.82
2016-12-31,29.86,$2.71,11.02
2016-09-30,22.95,$2.66,8.63
2016-06-30,20.62,$2.62,7.87
2016-03-31,23.38,$2.69,8.69
2015-12-31,24.81,$2.65,9.36
2015-09-30,25.53,$2.64,9.67
2015-06-30,26.86,$2.65,10.14
