Acuity Brands Inc PE Ratio Historical Data,Acuity Brands Inc PE Ratio Historical Data,Acuity Brands Inc PE Ratio Historical Data,Acuity Brands Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,267.25,,19.68
2024-11-30,320.69,$13.58,23.61
2024-08-31,254.58,$13.44,18.94
2024-05-31,259.33,$12.30,21.08
2024-02-29,250.82,$11.96,20.97
2023-11-30,178.85,$11.69,15.3
2023-08-31,160.79,$10.77,14.93
2023-05-31,150.12,$11.62,12.92
2023-02-28,193.07,$11.41,16.92
2022-11-30,187.3,$10.97,17.07
2022-08-31,162.94,$11.14,14.63
2022-05-31,173.82,$10.38,16.75
2022-02-28,180.98,$9.68,18.7
2021-11-30,199.69,$9.29,21.49
2021-08-31,182.89,$8.40,21.77
2021-05-31,183.96,$7.55,24.37
2021-02-28,122.02,$6.70,18.21
2020-11-30,117.36,$6.40,18.34
2020-08-31,107.89,$6.27,17.21
2020-05-31,84.93,$6.82,12.45
2020-02-29,101.24,$7.52,13.46
2019-11-30,128.59,$7.75,16.59
2019-08-31,123.18,$8.29,14.86
2019-05-31,121.35,$8.57,14.16
2019-02-28,127.56,$8.15,15.65
2018-11-30,127.32,$8.81,14.45
2018-08-31,149.52,$8.53,17.53
2018-05-31,115.56,$7.98,14.48
2018-02-28,139.2,$8.08,17.23
2017-11-30,167.23,$7.28,22.97
2017-08-31,172.33,$7.44,23.16
2017-05-31,158.7,$7.18,22.1
2017-02-28,205.68,$6.97,29.51
2016-11-30,244.57,$6.93,35.29
2016-08-31,267.5,$6.64,40.29
2016-05-31,251.74,$6.13,41.07
2016-02-29,203.43,$5.92,34.36
2015-11-30,224.12,$5.50,40.75
2015-08-31,189.04,$5.10,37.07
2015-05-31,171.09,$4.98,34.36
2015-02-28,153.52,$4.51,34.04
2014-11-30,133.76,$4.19,31.92
2014-08-31,119.77,$4.05,29.57
2014-05-31,121.21,$3.82,31.73
2014-02-28,136.07,$3.54,38.44
2013-11-30,98.82,$3.36,29.41
2013-08-31,82.29,$2.94,27.99
2013-05-31,72.14,$2.69,26.82
2013-02-28,65.35,$2.75,23.76
2012-11-30,63.33,$2.64,23.99
2012-08-31,61.3,$2.73,22.45
2012-05-31,51.95,$2.74,18.96
2012-02-29,59.14,$2.57,23.01
2011-11-30,47.68,$2.56,18.62
2011-08-31,43.56,$2.42,18.0
2011-05-31,57.53,$2.25,25.57
2011-02-28,53.22,$2.11,25.22
2010-11-30,50.6,$1.84,27.5
2010-08-31,36.3,$1.81,20.06
2010-05-31,38.42,$1.87,20.54
2010-02-28,36.3,$1.92,18.91
2009-11-30,29.96,$2.09,14.34
