Diamond Hill Investment PE Ratio Historical Data,Diamond Hill Investment PE Ratio Historical Data,Diamond Hill Investment PE Ratio Historical Data,Diamond Hill Investment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,144.66,,9.26
2024-12-31,155.1,$15.63,9.92
2024-09-30,160.2,$17.66,9.07
2024-06-30,138.21,$14.51,9.53
2024-03-31,149.89,$14.76,10.16
2023-12-31,159.42,$14.34,11.12
2023-09-30,160.78,$14.51,11.08
2023-06-30,161.95,$16.21,9.99
2023-03-31,154.14,$14.43,10.68
2022-12-31,171.83,$13.10,13.12
2022-09-30,148.78,$13.84,10.75
2022-06-30,155.21,$17.97,8.64
2022-03-31,166.04,$21.85,7.6
2021-12-31,170.91,$23.32,7.33
2021-09-30,140.44,$22.19,6.33
2021-06-30,133.03,$17.46,7.62
2021-03-31,123.34,$15.97,7.72
2020-12-31,117.32,$12.10,9.7
2020-09-30,91.74,$11.55,7.94
2020-06-30,82.55,$11.60,7.12
2020-03-31,65.53,$11.60,5.65
2019-12-31,102.01,$15.97,6.39
2019-09-30,94.11,$13.35,7.05
2019-06-30,96.56,$14.31,6.75
2019-03-31,95.38,$14.60,6.53
2018-12-31,101.82,$13.48,7.55
2018-09-30,107.57,$15.54,6.92
2018-06-30,126.46,$14.90,8.49
2018-03-31,134.35,$14.48,9.28
2017-12-31,134.41,$14.47,9.29
2017-09-30,133.68,$15.03,8.89
2017-06-30,125.53,$15.29,8.21
2017-03-31,122.47,$14.47,8.46
2016-12-31,132.44,$13.49,9.82
2016-09-30,113.08,$12.93,8.75
2016-06-30,115.31,$10.99,10.49
2016-03-31,108.54,$10.88,9.98
2015-12-31,115.66,$11.04,10.48
2015-09-30,111.35,$11.42,9.75
2015-06-30,119.5,$11.37,10.51
2015-03-31,95.76,$10.76,8.9
2014-12-31,82.62,$9.65,8.56
2014-09-30,71.54,$7.94,9.01
2014-06-30,74.25,$7.67,9.68
2014-03-31,76.41,$7.00,10.92
2013-12-31,68.8,$6.89,9.99
2013-09-30,60.68,$6.32,9.6
2013-06-30,48.56,$5.97,8.13
2013-03-31,44.15,$5.59,7.9
2012-12-31,38.5,$5.44,7.08
2012-09-30,39.2,$5.40,7.26
2012-06-30,40.03,$4.92,8.14
2012-03-31,37.65,$5.11,7.37
2011-12-31,37.82,$4.87,7.77
2011-09-30,33.11,$4.98,6.65
2011-06-30,38.79,$5.38,7.21
2011-03-31,38.18,$4.78,7.99
2010-12-31,34.52,$4.48,7.71
2010-09-30,29.52,$4.22,7.0
2010-06-30,22.93,$4.21,5.45
2010-03-31,27.74,$5.21,5.32
2009-12-31,25.97,$4.37,5.94
