Gryphon Digital Mining PE Ratio Historical Data,Gryphon Digital Mining PE Ratio Historical Data,Gryphon Digital Mining PE Ratio Historical Data,Gryphon Digital Mining PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.2,,0.0
2024-09-30,0.68,$-0.61,0.0
2024-06-30,1.19,$-6.86,0.0
2024-03-31,1.49,$-17.16,0.0
2023-12-31,0.44,$-26.00,0.0
2023-09-30,0.22,$-142.00,0.0
2023-06-30,0.61,$-147.40,0.0
2023-03-31,0.8,$-469.00,0.0
2022-12-31,0.69,$-735.80,0.0
2022-09-30,0.09,$-871.80,0.0
2022-06-30,0.14,$-884.00,0.0
2022-03-31,1.14,$-652.00,0.0
2021-12-31,1.75,$-488.00,0.0
2021-09-30,2.82,$-236.00,0.0
2021-06-30,4.03,$-348.00,0.0
2021-03-31,4.94,$-392.00,0.0
2020-12-31,3.24,$-452.00,0.0
2020-09-30,3.64,$-612.00,0.0
2020-06-30,8.8,$-580.00,0.0
2020-03-31,5.12,$-436.00,0.0
2019-12-31,8.43,$-264.00,0.0
2019-09-30,5.93,$-104.00,0.0
2019-06-30,21.6,0,0.0
2019-03-31,10.1,0,0.0
2018-12-31,10.09,0,0.0
