Bread Financial Holdings PE Ratio Historical Data,Bread Financial Holdings PE Ratio Historical Data,Bread Financial Holdings PE Ratio Historical Data,Bread Financial Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,49.78,,8.97
2024-12-31,61.06,$5.55,11.0
2024-09-30,47.41,$6.28,7.55
2024-06-30,44.22,$9.65,4.58
2024-03-31,36.76,$7.94,4.63
2023-12-31,32.33,$14.32,2.26
2023-09-30,33.56,$10.77,3.12
2023-06-30,30.65,$10.04,3.05
2023-03-31,29.37,$9.34,3.14
2022-12-31,36.29,$4.46,8.14
2022-09-30,30.15,$7.48,4.03
2022-06-30,35.36,$9.26,3.82
2022-03-31,53.34,$14.48,3.68
2021-12-31,63.06,$16.02,3.94
2021-09-30,95.32,$15.93,5.98
2021-06-30,98.21,$14.25,6.89
2021-03-31,105.47,$9.59,11.0
2020-12-31,69.55,$4.48,15.52
2020-09-30,39.27,$6.97,5.63
2020-06-30,42.02,$2.05,20.5
2020-03-31,31.16,$3.88,8.03
2019-12-31,103.27,$6.05,17.07
2019-09-30,117.24,$8.56,13.7
2019-06-30,127.56,$16.08,7.93
2019-03-31,158.58,$17.37,9.13
2018-12-31,135.52,$17.52,7.74
2018-09-30,212.67,$17.15,12.4
2018-06-30,209.47,$15.96,13.12
2018-03-31,190.68,$14.50,13.15
2017-12-31,226.55,$14.13,16.03
2017-09-30,197.55,$9.43,20.95
2017-06-30,228.35,$8.78,26.01
2017-03-31,221.05,$7.55,29.28
2016-12-31,202.39,$7.32,27.65
2016-09-30,189.53,$9.45,20.06
2016-06-30,173.09,$7.98,21.69
2016-03-31,194.36,$8.85,21.96
2015-12-31,244.34,$8.82,27.7
2015-09-30,228.8,$7.37,31.04
2015-06-30,257.92,$8.03,32.12
2015-03-31,261.72,$8.11,32.27
2014-12-31,252.71,$7.87,32.11
2014-09-30,219.33,$8.80,24.92
2014-06-30,248.47,$8.07,30.79
2014-03-31,240.7,$7.59,31.71
2013-12-31,232.29,$7.43,31.26
2013-09-30,186.82,$6.91,27.04
2013-06-30,159.93,$6.74,23.73
2013-03-31,143.02,$6.66,21.47
2012-12-31,127.89,$6.60,19.38
2012-09-30,125.41,$6.45,19.44
2012-06-30,119.27,$6.21,19.21
2012-03-31,111.28,$5.77,19.29
2011-12-31,91.74,$5.47,16.77
2011-09-30,81.9,$5.19,15.78
2011-06-30,83.11,$4.55,18.27
2011-03-31,75.88,$4.19,18.11
2010-12-31,62.75,$3.47,18.08
2010-09-30,57.65,$3.35,17.21
2010-06-30,52.58,$3.22,16.33
2010-03-31,56.53,$2.90,19.49
2009-12-31,57.06,$2.51,22.73
