J W Mays PE Ratio Historical Data,J W Mays PE Ratio Historical Data,J W Mays PE Ratio Historical Data,J W Mays PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,38.61,,0.0
2025-01-31,41.5,$-0.04,0.0
2024-10-31,44.2,$-0.08,0.0
2024-07-31,43.33,$-0.19,0.0
2024-04-30,43.51,$-0.25,0.0
2024-01-31,43.88,$-0.23,0.0
2023-10-31,47.6,$-0.17,0.0
2023-07-31,45.37,$-0.04,0.0
2023-04-30,45.04,0,0.0
2023-01-31,44.26,$-0.01,0.0
2022-10-31,46.27,$-0.13,0.0
2022-07-31,44.8,$-0.35,0.0
2022-04-30,40.73,$0.13,313.31
2022-01-31,37.05,$0.14,264.64
2021-10-31,34.9,$0.22,158.64
2021-07-31,38.34,$0.20,191.7
2021-04-30,27.0,$-0.45,0.0
2021-01-31,28.45,$-0.72,0.0
2020-10-31,23.3,$-0.72,0.0
2020-07-31,19.78,$-0.45,0.0
2020-04-30,20.56,$0.07,293.74
2020-01-31,29.19,$0.68,42.93
2019-10-31,35.17,$0.85,41.38
2019-07-31,35.06,$0.75,46.75
2019-04-30,36.8,$0.34,108.24
2019-01-31,39.5,$0.18,219.45
2018-10-31,40.0,$1.24,32.26
2018-07-31,39.55,$1.28,30.9
2018-04-30,38.0,$1.37,27.74
2018-01-31,38.1,$1.51,25.23
2017-10-31,39.95,$0.46,86.85
2017-07-31,37.5,$0.69,54.35
2017-04-30,39.85,$0.91,43.79
2017-01-31,43.0,$0.83,51.81
2016-10-31,46.5,$0.78,59.62
2016-07-31,47.5,$0.75,63.33
2016-04-30,52.0,$0.53,98.11
2016-01-31,54.99,$0.31,177.39
2015-10-31,55.75,$0.36,154.86
2015-07-31,53.05,$0.38,139.61
2015-04-30,47.13,$0.45,104.73
2015-01-31,53.25,$0.56,95.09
2014-10-31,50.0,$0.37,135.14
2014-07-31,60.08,$0.37,162.38
2014-04-30,50.5,$0.35,144.29
2014-01-31,38.06,$0.28,135.93
2013-10-31,28.0,$0.30,93.33
2013-07-31,26.65,$0.33,80.76
2013-04-30,22.2,$0.50,44.4
2013-01-31,22.2,$0.53,41.89
2012-10-31,25.0,$0.70,35.71
2012-07-31,19.25,$0.64,30.08
2012-04-30,17.69,$0.57,31.04
2012-01-31,15.43,$0.61,25.3
2011-10-31,17.0,$0.36,47.22
2011-07-31,16.5,$0.26,63.46
2011-04-30,18.38,$0.09,204.22
2011-01-31,18.26,0,0.0
2010-10-31,12.6,$0.15,84.0
2010-07-31,15.35,$0.21,73.1
2010-04-30,22.61,$0.28,80.75
2010-01-31,16.39,$0.43,38.12
2009-10-31,13.55,$0.50,27.1
