Cal-Maine Foods PE Ratio Historical Data,Cal-Maine Foods PE Ratio Historical Data,Cal-Maine Foods PE Ratio Historical Data,Cal-Maine Foods PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,88.72,,6.9
2024-11-30,97.61,$12.85,7.6
2024-08-31,71.22,$8.73,8.16
2024-05-31,60.3,$5.69,10.6
2024-02-29,55.21,$5.64,9.79
2023-11-30,45.93,$9.26,4.96
2023-08-31,45.8,$12.98,3.53
2023-05-31,44.82,$15.53,2.89
2023-02-28,51.27,$15.51,3.31
2022-11-30,51.32,$9.70,5.29
2022-08-31,46.54,$5.65,8.24
2022-05-31,40.83,$2.71,15.07
2022-02-28,37.79,$0.37,102.12
2021-11-30,30.78,$-0.16,0.0
2021-08-31,30.86,$0.07,440.91
2021-05-31,29.8,$0.04,744.92
2021-02-28,32.49,$1.37,23.72
2020-11-30,33.37,$1.37,24.36
2020-08-31,32.91,$0.91,36.16
2020-05-31,38.0,$0.37,102.7
2020-02-29,29.75,$-1.28,0.0
2019-11-30,37.12,$-0.74,0.0
2019-08-31,34.57,$-0.08,0.0
2019-05-31,31.57,$1.12,28.19
2019-02-28,37.36,$3.01,12.41
2018-11-30,39.44,$4.18,9.44
2018-08-31,41.67,$3.19,13.06
2018-05-31,40.18,$2.60,15.45
2018-02-28,35.62,$0.61,58.39
2017-11-30,41.6,$-1.29,0.0
2017-08-31,30.48,$-1.23,0.0
2017-05-31,31.1,$-1.54,0.0
2017-02-28,31.73,$-1.04,0.0
2016-11-30,34.03,$0.20,170.15
2016-08-31,38.41,$2.94,13.07
2016-05-31,37.21,$6.53,5.7
2016-02-29,44.24,$7.49,5.91
2015-11-30,44.48,$7.21,6.17
2015-08-31,42.6,$5.71,7.46
2015-05-31,45.2,$3.33,13.57
2015-02-28,29.75,$3.03,9.82
2014-11-30,32.89,$2.87,11.48
2014-08-31,30.92,$2.65,11.69
2014-05-31,27.11,$2.26,12.02
2014-02-28,20.23,$1.53,13.26
2013-11-30,21.0,$1.28,16.47
2013-08-31,17.41,$1.04,16.82
2013-05-31,17.07,$1.05,16.26
2013-02-28,15.3,$1.91,8.01
2012-11-30,17.29,$1.82,9.5
2012-08-31,15.06,$2.01,7.51
2012-05-31,13.15,$1.88,7.01
2012-02-29,14.09,$1.25,11.32
2011-11-30,12.29,$1.40,8.78
2011-08-31,11.77,$1.23,9.57
2011-05-31,10.77,$1.27,8.51
2011-02-28,10.26,$1.56,6.6
2010-11-30,10.82,$1.58,6.85
2010-08-31,10.45,$1.60,6.53
2010-05-31,11.29,$1.42,7.95
2010-02-28,11.03,$1.20,9.23
2009-11-30,9.39,$1.12,8.42
