Banner PE Ratio Historical Data,Banner PE Ratio Historical Data,Banner PE Ratio Historical Data,Banner PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,64.26,,13.17
2024-12-31,66.77,$4.88,13.68
2024-09-30,59.12,$4.78,12.37
2024-06-30,48.83,$4.81,10.15
2024-03-31,46.72,$4.81,9.71
2023-12-31,51.57,$5.33,9.68
2023-09-30,40.36,$5.67,7.12
2023-06-30,41.17,$5.77,7.14
2023-03-31,50.76,$6.01,8.45
2022-12-31,58.57,$5.67,10.33
2022-09-30,54.43,$5.53,9.84
2022-06-30,51.42,$5.54,9.28
2022-03-31,53.11,$5.71,9.3
2021-12-31,54.65,$5.77,9.47
2021-09-30,49.39,$5.43,9.1
2021-06-30,48.12,$5.02,9.59
2021-03-31,47.0,$4.13,11.38
2020-12-31,40.7,$3.27,12.45
2020-09-30,27.88,$3.12,8.94
2020-06-30,32.46,$3.24,10.02
2020-03-31,27.87,$3.71,7.51
2019-12-31,46.54,$4.19,11.11
2019-09-30,45.83,$4.33,10.58
2019-06-30,43.85,$4.35,10.08
2019-03-31,43.55,$4.21,10.34
2018-12-31,42.69,$4.15,10.29
2018-09-30,49.32,$2.65,18.61
2018-06-30,47.05,$2.24,21.01
2018-03-31,43.14,$2.01,21.46
2017-12-31,42.67,$1.84,23.19
2017-09-30,47.24,$2.94,16.07
2017-06-30,42.61,$2.88,14.8
2017-03-31,41.77,$2.72,15.36
2016-12-31,41.72,$2.52,16.56
2016-09-30,32.53,$2.03,16.03
2016-06-30,31.48,$1.95,16.14
2016-03-31,30.95,$1.98,15.63
2015-12-31,33.76,$2.07,16.31
2015-09-30,34.89,$2.47,14.13
2015-06-30,34.88,$2.61,13.36
2015-03-31,33.27,$2.85,11.67
2014-12-31,31.18,$2.78,11.22
2014-09-30,27.64,$2.78,9.94
2014-06-30,28.34,$2.62,10.82
2014-03-31,29.35,$2.34,12.54
2013-12-31,31.92,$2.40,13.3
2013-09-30,26.97,$2.49,10.83
2013-06-30,23.8,$2.68,8.88
2013-03-31,22.34,$3.35,6.67
2012-12-31,21.56,$3.15,6.84
2012-09-30,19.04,$2.64,7.21
2012-06-30,15.36,$2.09,7.35
2012-03-31,15.43,$0.83,18.59
2011-12-31,12.01,$-0.20,0.0
2011-09-30,8.95,$-1.29,0.0
2011-06-30,12.24,$-4.33,0.0
2011-03-31,11.5,$-6.30,0.0
2010-12-31,11.26,$-6.79,0.0
2010-09-30,10.43,$-7.77,0.0
2010-06-30,9.51,$-8.05,0.0
2010-03-31,18.41,$-13.37,0.0
2009-12-31,12.81,$-16.80,0.0
