NXP Semiconductors PE Ratio Historical Data,NXP Semiconductors PE Ratio Historical Data,NXP Semiconductors PE Ratio Historical Data,NXP Semiconductors PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,202.64,,20.83
2024-12-31,207.85,$9.73,21.36
2024-09-30,238.89,$10.48,22.8
2024-06-30,266.64,$10.70,24.92
2024-03-31,244.61,$10.83,22.59
2023-12-31,225.8,$10.71,21.08
2023-09-30,195.64,$10.79,18.13
2023-06-30,199.29,$10.57,18.85
2023-03-31,180.63,$10.43,17.32
2022-12-31,152.21,$10.56,14.41
2022-09-30,141.38,$10.04,14.08
2022-06-30,141.13,$9.16,15.41
2022-03-31,175.58,$8.05,21.81
2021-12-31,215.02,$6.82,31.53
2021-09-30,184.43,$5.66,32.58
2021-06-30,193.19,$3.67,52.64
2021-03-31,188.56,$1.48,127.4
2020-12-31,148.46,$0.15,989.72
2020-09-30,116.25,$-0.53,0.0
2020-06-30,105.91,$-0.07,0.0
2020-03-31,76.74,$0.84,91.36
2019-12-31,117.31,$0.85,138.01
2019-09-30,100.28,$1.39,72.14
2019-06-30,89.4,$6.61,13.53
2019-03-31,80.74,$6.63,12.18
2018-12-31,66.76,$6.87,9.72
2018-09-30,77.65,$8.10,9.59
2018-06-30,98.96,$2.81,35.22
2018-03-31,105.96,$2.79,37.98
2017-12-31,106.05,$6.41,16.54
2017-09-30,102.42,$4.61,22.22
2017-06-30,99.13,$4.56,21.74
2017-03-31,93.74,$4.38,21.4
2016-12-31,88.77,$-0.57,0.0
2016-09-30,92.39,$2.62,35.26
2016-06-30,70.95,$3.85,18.43
2016-03-31,73.42,$5.12,14.34
2015-12-31,76.3,$5.82,13.11
2015-09-30,78.86,$2.87,27.48
2015-06-30,88.94,$1.87,47.56
2015-03-31,90.89,$1.28,71.01
2014-12-31,69.19,$2.17,31.89
2014-09-30,61.98,$1.93,32.11
2014-06-30,59.94,$2.04,29.38
2014-03-31,53.26,$1.83,29.11
2013-12-31,41.6,$1.34,31.04
2013-09-30,33.7,$0.50,67.4
2013-06-30,28.09,$0.35,80.27
2013-03-31,27.43,$0.25,109.73
2012-12-31,23.84,$0.21,113.51
2012-09-30,22.65,$-0.05,0.0
2012-06-30,21.04,$0.71,29.63
2012-03-31,24.1,$0.71,33.94
2011-12-31,13.92,$1.54,9.04
2011-09-30,12.79,$1.80,7.1
2011-06-30,24.21,$2.14,11.31
