Arhaus PE Ratio Historical Data,Arhaus PE Ratio Historical Data,Arhaus PE Ratio Historical Data,Arhaus PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.26,,18.89
2024-12-31,9.4,$0.49,19.18
2024-09-30,12.31,$0.56,21.98
2024-06-30,16.94,$0.63,26.89
2024-03-31,15.39,$0.76,20.25
2023-12-31,11.85,$0.89,13.31
2023-09-30,9.3,$1.01,9.21
2023-06-30,10.43,$1.13,9.23
2023-03-31,8.29,$1.10,7.54
2022-12-31,9.75,$0.98,9.95
2022-09-30,7.05,$0.71,9.93
