LivaNova PE Ratio Historical Data,LivaNova PE Ratio Historical Data,LivaNova PE Ratio Historical Data,LivaNova PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,40.43,,35.46
2024-12-31,46.31,$1.14,40.62
2024-09-30,52.54,$0.42,125.1
2024-06-30,54.82,$-0.32,0.0
2024-03-31,55.94,$-0.60,0.0
2023-12-31,51.74,$0.32,161.69
2023-09-30,52.88,$0.05,1057.6
2023-06-30,51.43,$-1.82,0.0
2023-03-31,43.58,$-1.54,0.0
2022-12-31,55.54,$-1.62,0.0
2022-09-30,50.77,$-1.75,0.0
2022-06-30,62.47,$-0.56,0.0
2022-03-31,81.83,$-1.99,0.0
2021-12-31,87.43,$-2.66,0.0
2021-09-30,79.19,$-8.31,0.0
2021-06-30,84.11,$-7.79,0.0
2021-03-31,73.73,$-8.47,0.0
2020-12-31,66.21,$-7.09,0.0
2020-09-30,45.21,$-4.30,0.0
2020-06-30,48.13,$-3.34,0.0
2020-03-31,45.25,$-2.13,0.0
2019-12-31,75.43,$-3.21,0.0
2019-09-30,73.79,$-4.59,0.0
2019-06-30,71.96,$-5.40,0.0
2019-03-31,97.25,$-4.49,0.0
2018-12-31,91.47,$-3.91,0.0
2018-09-30,123.97,$-1.89,0.0
2018-06-30,99.82,$-1.17,0.0
2018-03-31,88.5,$-0.50,0.0
2017-12-31,79.92,$-0.54,0.0
2017-09-30,70.06,$1.17,59.88
2017-06-30,61.21,$0.57,107.39
2017-03-31,49.01,$-0.23,0.0
2016-12-31,44.97,$-1.29,0.0
2016-09-30,60.11,$-0.68,0.0
2016-06-30,50.23,$-0.65,0.0
