Patrick Industries PE Ratio Historical Data,Patrick Industries PE Ratio Historical Data,Patrick Industries PE Ratio Historical Data,Patrick Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,84.51,,20.51
2024-12-31,83.08,$4.12,20.16
2024-09-30,94.51,$4.64,20.37
2024-06-30,71.76,$4.65,15.44
2024-03-31,78.6,$4.50,17.46
2023-12-31,65.69,$4.34,15.14
2023-09-30,48.82,$4.52,10.8
2023-06-30,51.74,$4.93,10.49
2023-03-31,44.25,$6.83,6.47
2022-12-31,38.73,$8.96,4.32
2022-09-30,27.79,$9.59,2.9
2022-06-30,32.68,$9.60,3.4
2022-03-31,37.8,$8.09,4.67
2021-12-31,50.34,$6.42,7.84
2021-09-30,51.75,$5.77,8.97
2021-06-30,45.21,$5.21,8.67
2021-03-31,52.47,$3.55,14.76
2020-12-31,42.05,$2.80,15.02
2020-09-30,35.23,$2.28,15.45
2020-06-30,37.36,$1.81,20.6
2020-03-31,17.09,$2.58,6.62
2019-12-31,31.66,$2.57,12.3
2019-09-30,25.77,$2.77,9.31
2019-06-30,29.56,$2.92,10.12
2019-03-31,27.23,$3.08,8.84
2018-12-31,17.79,$3.28,5.42
2018-09-30,35.58,$3.29,10.82
2018-06-30,34.16,$3.00,11.39
2018-03-31,37.17,$2.62,14.17
2017-12-31,41.74,$2.32,17.99
2017-09-30,33.69,$1.94,17.35
2017-06-30,29.19,$1.81,16.09
2017-03-31,28.4,$1.73,16.39
2016-12-31,30.57,$1.59,19.21
2016-09-30,24.81,$1.54,16.08
2016-06-30,24.15,$1.45,16.67
2016-03-31,18.18,$1.31,13.92
2015-12-31,17.43,$1.21,14.34
2015-09-30,15.82,$1.07,14.75
2015-06-30,15.24,$1.02,15.0
2015-03-31,16.63,$0.92,17.99
2014-12-31,11.75,$0.85,13.81
2014-09-30,11.31,$0.79,14.41
2014-06-30,12.44,$0.73,16.93
2014-03-31,11.84,$0.69,17.22
2013-12-31,7.73,$0.66,11.69
2013-09-30,8.03,$0.61,13.15
2013-06-30,5.55,$0.64,8.72
2013-03-31,4.21,$0.79,5.32
2012-12-31,4.16,$0.77,5.41
2012-09-30,4.13,$0.72,5.74
2012-06-30,3.41,$0.67,5.06
2012-03-31,3.25,$0.42,7.77
2011-12-31,1.1,$0.24,4.56
2011-09-30,0.5,$0.17,2.94
2011-06-30,0.56,$0.02,31.18
2011-03-31,0.73,$-0.03,0.0
2010-12-31,0.51,$0.03,15.48
2010-09-30,0.57,$0.09,6.39
2010-06-30,0.49,$0.09,5.55
2010-03-31,0.77,$0.01,64.55
2009-12-31,0.65,$-0.15,0.0
