Myers Industries PE Ratio Historical Data,Myers Industries PE Ratio Historical Data,Myers Industries PE Ratio Historical Data,Myers Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.52,,65.89
2024-12-31,11.04,$0.19,58.11
2024-09-30,13.66,$0.42,32.52
2024-06-30,13.1,$1.05,12.47
2024-03-31,22.47,$1.06,21.2
2023-12-31,18.84,$1.32,14.27
2023-09-30,17.15,$1.34,12.79
2023-06-30,18.44,$1.37,13.46
2023-03-31,20.2,$1.51,13.38
2022-12-31,20.81,$1.63,12.77
2022-09-30,15.33,$1.47,10.43
2022-06-30,21.0,$1.32,15.91
2022-03-31,19.83,$1.19,16.67
2021-12-31,18.25,$0.92,19.83
2021-09-30,17.72,$0.80,22.15
2021-06-30,18.89,$0.82,23.04
2021-03-31,17.66,$0.75,23.55
2020-12-31,18.45,$1.02,18.09
2020-09-30,11.66,$1.10,10.6
2020-06-30,12.71,$1.01,12.59
2020-03-31,9.3,$0.96,9.68
2019-12-31,14.27,$0.68,20.98
2019-09-30,14.97,$0.59,25.38
2019-06-30,16.22,$-0.16,0.0
2019-03-31,14.3,$-0.08,0.0
2018-12-31,12.53,$-0.05,0.0
2018-09-30,19.12,$-0.71,0.0
2018-06-30,15.7,0,0.0
2018-03-31,17.18,$-0.19,0.0
2017-12-31,15.74,$-0.31,0.0
2017-09-30,16.81,$0.23,73.07
2017-06-30,14.3,$0.13,109.97
2017-03-31,12.53,$0.24,52.21
2016-12-31,11.2,$0.03,373.3
2016-09-30,10.08,$0.09,111.97
2016-06-30,11.07,$0.09,122.96
2016-03-31,9.79,$0.28,34.98
2015-12-31,10.04,$0.55,18.25
2015-09-30,10.01,$0.22,45.49
2015-06-30,14.05,$0.12,117.07
2015-03-31,12.87,$-0.08,0.0
2014-12-31,12.83,$-0.22,0.0
2014-09-30,12.75,$0.20,63.76
2014-06-30,14.43,$0.48,30.05
2014-03-31,14.21,$0.56,25.38
2013-12-31,14.98,$0.77,19.45
2013-09-30,14.2,$0.92,15.43
2013-06-30,10.55,$0.90,11.72
2013-03-31,9.75,$0.82,11.89
2012-12-31,10.52,$0.88,11.96
2012-09-30,10.79,$0.80,13.49
2012-06-30,11.79,$0.84,14.04
2012-03-31,10.09,$0.80,12.61
2011-12-31,8.39,$0.70,11.98
2011-09-30,6.86,$-0.90,0.0
2011-06-30,6.9,$-1.02,0.0
2011-03-31,6.62,$-1.18,0.0
2010-12-31,6.44,$-1.21,0.0
2010-09-30,5.65,$0.25,22.59
2010-06-30,5.26,$0.01,526.47
2010-03-31,6.77,0,0.0
2009-12-31,5.84,$-0.02,0.0
