AvalonBay Communities PE Ratio Historical Data,AvalonBay Communities PE Ratio Historical Data,AvalonBay Communities PE Ratio Historical Data,AvalonBay Communities PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,211.5,,27.87
2024-12-31,219.97,$7.59,28.98
2024-09-30,225.25,$7.31,30.81
2024-06-30,205.34,$5.91,34.74
2024-03-31,182.67,$6.72,27.18
2023-12-31,182.61,$6.55,27.88
2023-09-30,166.07,$6.57,25.28
2023-06-30,181.27,$8.89,20.39
2023-03-31,159.56,$7.29,21.89
2022-12-31,151.82,$8.11,18.72
2022-09-30,171.45,$8.79,19.5
2022-06-30,179.24,$5.82,30.8
2022-03-31,227.33,$8.04,28.27
2021-12-31,229.74,$7.19,31.95
2021-09-30,198.9,$7.23,27.51
2021-06-30,187.28,$7.72,24.26
2021-03-31,164.34,$5.72,28.73
2020-12-31,141.69,$5.89,24.06
2020-09-30,130.58,$4.65,28.08
2020-06-30,133.77,$5.60,23.89
2020-03-31,126.0,$5.60,22.5
2019-12-31,177.68,$5.64,31.5
2019-09-30,181.13,$7.23,25.05
2019-06-30,169.7,$6.62,25.63
2019-03-31,166.4,$7.25,22.95
2018-12-31,143.2,$7.05,20.31
2018-09-30,147.78,$5.98,24.71
2018-06-30,139.08,$6.31,22.04
2018-03-31,131.93,$5.67,23.27
2017-12-31,141.85,$6.36,22.3
2017-09-30,140.74,$6.40,21.99
2017-06-30,150.39,$7.27,20.69
2017-03-31,142.64,$7.51,18.99
2016-12-31,136.57,$7.52,18.16
2016-09-30,136.04,$6.89,19.75
2016-06-30,136.98,$5.83,23.5
2016-03-31,143.34,$5.68,25.24
2015-12-31,137.78,$5.51,25.01
2015-09-30,129.94,$5.46,23.8
2015-06-30,117.95,$5.76,20.48
2015-03-31,127.57,$5.68,22.46
2014-12-31,118.77,$5.21,22.8
2014-09-30,101.77,$6.08,16.74
2014-06-30,101.81,$4.17,24.41
2014-03-31,93.26,$3.24,28.78
2013-12-31,83.22,$2.78,29.93
2013-09-30,88.66,$2.02,43.89
2013-06-30,93.34,$2.99,31.22
2013-03-31,86.95,$4.34,20.04
2012-12-31,92.3,$4.31,21.42
2012-09-30,91.92,$6.52,14.1
2012-06-30,94.95,$6.12,15.51
2012-03-31,94.19,$4.98,18.91
2011-12-31,86.42,$4.73,18.27
2011-09-30,74.95,$1.64,45.7
2011-06-30,83.75,$1.44,58.16
2011-03-31,77.77,$1.56,49.86
2010-12-31,72.35,$2.09,34.62
2010-09-30,66.29,$2.18,30.41
2010-06-30,59.04,$2.61,22.62
2010-03-31,54.11,$2.22,24.37
2009-12-31,50.93,$1.93,26.39
