Walker & Dunlop PE Ratio Historical Data,Walker & Dunlop PE Ratio Historical Data,Walker & Dunlop PE Ratio Historical Data,Walker & Dunlop PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,86.43,,27.09
2024-12-31,97.21,$3.19,30.47
2024-09-30,112.91,$2.80,40.33
2024-06-30,97.0,$2.59,37.45
2024-03-31,99.2,$2.74,36.2
2023-12-31,108.23,$3.18,34.03
2023-09-30,71.83,$3.49,20.58
2023-06-30,75.95,$4.25,17.87
2023-03-31,72.51,$5.04,14.39
2022-12-31,74.17,$6.37,11.64
2022-09-30,78.57,$7.55,10.41
2022-06-30,89.92,$8.36,10.76
2022-03-31,120.09,$8.48,14.16
2021-12-31,139.4,$8.15,17.1
2021-09-30,104.52,$8.32,12.56
2021-06-30,95.63,$7.77,12.31
2021-03-31,93.65,$7.99,11.72
2020-12-31,83.47,$7.69,10.85
2020-09-30,47.85,$6.44,7.43
2020-06-30,45.57,$6.17,7.39
2020-03-31,35.78,$5.55,6.45
2019-12-31,57.19,$5.45,10.49
2019-09-30,49.23,$5.55,8.87
2019-06-30,46.58,$5.33,8.74
2019-03-31,44.32,$5.28,8.39
2018-12-31,37.46,$5.05,7.42
2018-09-30,45.55,$6.67,6.83
2018-06-30,47.72,$6.56,7.27
2018-03-31,50.72,$6.36,7.97
2017-12-31,40.34,$6.55,6.16
2017-09-30,44.44,$4.65,9.56
2017-06-30,41.47,$4.55,9.11
2017-03-31,35.4,$4.52,7.83
2016-12-31,26.5,$3.67,7.22
2016-09-30,21.45,$3.18,6.75
2016-06-30,19.35,$2.88,6.72
2016-03-31,20.61,$2.50,8.24
2015-12-31,24.47,$2.66,9.2
2015-09-30,22.15,$2.49,8.89
2015-06-30,22.71,$2.30,9.87
2015-03-31,15.06,$2.03,7.42
2014-12-31,14.9,$1.58,9.43
2014-09-30,11.29,$1.41,8.0
2014-06-30,11.98,$1.17,10.24
2014-03-31,13.89,$1.19,11.67
2013-12-31,13.73,$1.21,11.35
2013-09-30,13.51,$1.22,11.07
2013-06-30,14.86,$1.27,11.7
2013-03-31,15.26,$1.27,12.02
2012-12-31,14.15,$1.31,10.8
2012-09-30,13.05,$1.47,8.88
2012-06-30,10.91,$1.47,7.42
2012-03-31,10.7,$1.56,6.86
2011-12-31,10.67,$1.60,6.67
2011-09-30,9.87,$-0.24,0.0
