OLB PE Ratio Historical Data,OLB PE Ratio Historical Data,OLB PE Ratio Historical Data,OLB PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.2,,0.0
2024-09-30,2.56,$-5.65,0.0
2024-06-30,3.0,$-5.93,0.0
2024-03-31,0.57,$-4.84,0.0
2023-12-31,1.06,$-6.40,0.0
2023-09-30,0.73,$-4.50,0.0
2023-06-30,0.91,$-4.50,0.0
2023-03-31,1.02,$-5.10,0.0
2022-12-31,0.84,$-4.40,0.0
2022-09-30,1.06,$-5.80,0.0
2022-06-30,0.88,$-5.70,0.0
2022-03-31,1.75,$-5.60,0.0
2021-12-31,2.65,$-6.30,0.0
2021-09-30,4.0,$-3.70,0.0
2021-06-30,5.46,$-3.70,0.0
