FAT Brands PE Ratio Historical Data,FAT Brands PE Ratio Historical Data,FAT Brands PE Ratio Historical Data,FAT Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.04,,0.0
2024-12-31,5.32,$-11.60,0.0
2024-09-30,4.92,$-9.22,0.0
2024-06-30,5.13,$-8.07,0.0
2024-03-31,7.6,$-6.17,0.0
2023-12-31,6.06,$-5.75,0.0
2023-09-30,6.56,$-8.36,0.0
2023-06-30,6.88,$-8.19,0.0
2023-03-31,7.05,$-8.16,0.0
2022-12-31,4.95,$-7.66,0.0
2022-09-30,7.41,$-4.75,0.0
2022-06-30,7.34,$-3.59,0.0
2022-03-31,7.23,$-3.57,0.0
2021-12-31,10.12,$-2.32,0.0
2021-09-30,8.81,$-1.58,0.0
2021-06-30,13.63,$-1.37,0.0
2021-03-31,6.9,$-1.25,0.0
2020-12-31,5.43,$-1.25,0.0
2020-09-30,5.15,$-0.69,0.0
2020-06-30,3.15,$-0.54,0.0
2020-03-31,2.1,$-0.22,0.0
2019-12-31,4.15,$-0.08,0.0
2019-09-30,4.63,$-0.23,0.0
2019-06-30,3.75,$-0.33,0.0
2019-03-31,4.68,$-0.25,0.0
2018-12-31,4.2,$-0.14,0.0
2018-09-30,7.34,$0.09,83.26
