Tenon Medical PE Ratio Historical Data,Tenon Medical PE Ratio Historical Data,Tenon Medical PE Ratio Historical Data,Tenon Medical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.11,,0.0
2024-09-30,4.24,$-27.23,0.0
2024-06-30,0.61,$-35.28,0.0
2024-03-31,0.95,$-53.52,0.0
2023-12-31,1.58,$-77.92,0.0
2023-09-30,0.16,$-128.48,0.0
2023-06-30,0.28,$-139.20,0.0
2023-03-31,1.77,$-164.80,0.0
