ProPetro Holding PE Ratio Historical Data,ProPetro Holding PE Ratio Historical Data,ProPetro Holding PE Ratio Historical Data,ProPetro Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.29,,0.0
2024-12-31,9.33,$-1.34,0.0
2024-09-30,7.66,$-1.33,0.0
2024-06-30,8.67,$0.30,28.9
2024-03-31,8.08,$0.67,12.06
2023-12-31,8.38,$0.74,11.32
2023-09-30,10.63,$1.02,10.42
2023-06-30,8.24,$0.81,10.17
2023-03-31,7.19,$0.15,47.93
2022-12-31,10.37,$0.01,0.0
2022-09-30,8.05,$-0.31,0.0
2022-06-30,10.0,$-0.46,0.0
2022-03-31,13.93,$-0.22,0.0
2021-12-31,8.1,$-0.53,0.0
2021-09-30,8.65,$-0.77,0.0
2021-06-30,9.16,$-1.01,0.0
2021-03-31,10.66,$-1.19,0.0
2020-12-31,7.39,$-1.07,0.0
2020-09-30,4.06,$-0.41,0.0
2020-06-30,5.14,$0.21,24.48
2020-03-31,2.5,$0.82,3.05
2019-12-31,11.25,$1.57,7.17
2019-09-30,9.09,$1.94,4.69
2019-06-30,20.7,$2.14,9.67
2019-03-31,22.54,$2.24,10.06
2018-12-31,12.32,$1.99,6.19
2018-09-30,16.49,$1.52,10.85
2018-06-30,15.68,$1.24,12.65
2018-03-31,15.89,$0.85,18.69
2017-12-31,20.16,0,0.0
