Intercontinental Hotels Group PE Ratio Historical Data,Intercontinental Hotels Group PE Ratio Historical Data,Intercontinental Hotels Group PE Ratio Historical Data,Intercontinental Hotels Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,112.68,,inf
2024-12-31,124.92,0,0.0
2024-06-30,105.39,0,0.0
2023-12-31,89.77,0,0.0
2023-06-30,68.92,0,0.0
2022-12-31,56.26,0,0.0
2022-06-30,51.7,0,0.0
2021-12-31,61.61,0,0.0
2021-06-30,63.0,0,0.0
2020-12-31,61.52,0,0.0
2020-06-30,41.91,0,0.0
2019-12-31,63.44,0,0.0
2019-06-30,61.4,0,0.0
2018-12-31,49.77,0,0.0
2018-06-30,56.81,0,0.0
2017-12-31,56.89,0,0.0
2017-06-30,49.41,0,0.0
2016-12-31,39.23,0,0.0
2015-12-31,34.7,0,0.0
2015-06-30,35.98,0,0.0
2014-12-31,35.15,0,0.0
2014-06-30,39.2,$0.50,78.36
2013-12-31,31.1,$1.34,23.15
2013-06-30,24.25,$1.97,12.3
2012-12-31,24.2,$2.77,8.74
2012-09-30,24.47,$2.91,8.41
2012-06-30,22.29,$2.99,7.46
2012-03-31,21.47,$2.80,7.66
2011-12-31,16.37,$2.36,6.94
2011-09-30,14.63,$1.72,8.53
2011-06-30,18.63,$1.33,13.98
2011-03-31,18.68,$1.33,14.02
2010-12-31,17.49,$1.24,14.1
2010-09-30,15.91,$1.24,12.82
2010-06-30,13.79,$1.06,13.05
2010-03-31,13.76,$0.32,42.78
2009-12-31,12.4,$0.21,57.85
