Netcapital PE Ratio Historical Data,Netcapital PE Ratio Historical Data,Netcapital PE Ratio Historical Data,Netcapital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.72,,0.0
2024-10-31,1.53,$-31.92,0.0
2024-07-31,0.07,$-26.78,0.0
2024-04-30,0.13,$-26.57,0.0
2024-01-31,0.18,$-3.50,0.0
2023-10-31,0.4,$32.87,0.01
2023-07-31,0.68,$32.87,0.02
2023-04-30,1.36,$39.16,0.03
