Rhinebeck Bancorp PE Ratio Historical Data,Rhinebeck Bancorp PE Ratio Historical Data,Rhinebeck Bancorp PE Ratio Historical Data,Rhinebeck Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.41,,0.0
2024-09-30,9.25,$-0.47,0.0
2024-06-30,7.86,$0.39,20.15
2024-03-31,8.45,$0.43,19.65
2023-12-31,8.05,$0.40,20.13
2023-09-30,6.77,$0.38,17.82
2023-06-30,6.73,$0.46,14.63
2023-03-31,7.65,$0.51,15.0
2022-12-31,9.11,$0.63,14.46
2022-09-30,9.75,$0.83,11.75
2022-06-30,9.25,$0.89,10.39
2022-03-31,10.16,$0.94,10.81
2021-12-31,10.66,$1.06,10.06
2021-09-30,10.9,$1.00,10.9
2021-06-30,10.95,$0.85,12.88
2021-03-31,10.35,$0.75,13.8
2020-12-31,8.55,$0.54,15.83
2020-09-30,6.32,$0.49,12.9
2020-06-30,6.56,$0.59,11.12
2020-03-31,6.4,$0.57,11.23
2019-12-31,11.31,$0.56,20.2
