Unilever PE Ratio Historical Data,Unilever PE Ratio Historical Data,Unilever PE Ratio Historical Data,Unilever PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,59.23,,inf
2024-12-31,56.7,0,0.0
2024-06-30,54.12,0,0.0
2023-12-31,46.89,0,0.0
2023-06-30,49.5,0,0.0
2022-12-31,46.96,0,0.0
2022-06-30,42.0,0,0.0
2021-12-31,48.3,0,0.0
2021-06-30,51.59,0,0.0
2020-12-31,52.28,0,0.0
2020-06-30,46.77,0,0.0
2019-12-31,47.94,0,0.0
2019-06-30,51.18,0,0.0
2018-12-31,42.48,0,0.0
2018-06-30,44.21,0,0.0
2017-12-31,43.51,0,0.0
2017-06-30,41.92,0,0.0
2016-12-31,31.04,0,0.0
2016-06-30,35.95,0,0.0
2015-12-31,31.86,0,0.0
2015-06-30,31.28,0,0.0
2014-12-31,29.04,0,0.0
2014-06-30,31.93,0,0.0
2013-12-31,28.5,0,0.0
2013-06-30,27.49,0,0.0
2012-12-31,25.89,0,0.0
2012-06-30,22.18,$0.47,47.19
2011-12-31,21.63,$1.03,21.0
2011-06-30,20.5,$1.49,13.76
2010-12-31,19.16,$1.94,9.88
2010-09-30,17.88,$1.90,9.41
2010-06-30,16.26,$1.91,8.51
2010-03-31,17.63,$1.84,9.58
2009-12-31,19.03,$1.74,10.94
