Spok Holdings PE Ratio Historical Data,Spok Holdings PE Ratio Historical Data,Spok Holdings PE Ratio Historical Data,Spok Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.91,,21.5
2024-12-31,16.05,$0.74,21.69
2024-09-30,14.78,$0.73,20.24
2024-06-30,14.23,$0.77,18.49
2024-03-31,15.02,$0.83,18.09
2023-12-31,14.31,$0.77,18.58
2023-09-30,12.94,$1.81,7.15
2023-06-30,11.78,$1.74,6.77
2023-03-31,8.76,$1.61,5.44
2022-12-31,6.86,$1.09,6.29
2022-09-30,6.16,$-0.98,0.0
2022-06-30,4.87,$-1.26,0.0
2022-03-31,5.91,$-1.40,0.0
2021-12-31,6.65,$-1.15,0.0
2021-09-30,7.2,$-2.73,0.0
2021-06-30,6.66,$-2.44,0.0
2021-03-31,7.18,$-2.20,0.0
2020-12-31,7.54,$-2.32,0.0
2020-09-30,6.36,$-0.38,0.0
2020-06-30,6.18,$-0.61,0.0
2020-03-31,6.98,$-0.84,0.0
2019-12-31,7.88,$-0.56,0.0
2019-09-30,7.61,$-0.05,0.0
2019-06-30,9.59,0,0.0
2019-03-31,8.62,$-0.02,0.0
2018-12-31,8.31,$-0.03,0.0
2018-09-30,9.57,$-1.11,0.0
2018-06-30,9.28,$-0.90,0.0
2018-03-31,9.15,$-0.78,0.0
2017-12-31,9.49,$-0.77,0.0
2017-09-30,9.24,$0.45,20.53
2017-06-30,10.57,$0.46,22.99
2017-03-31,11.27,$0.56,20.12
2016-12-31,12.22,$0.69,17.71
2016-09-30,10.3,$4.07,2.53
2016-06-30,10.99,$4.07,2.7
2016-03-31,9.96,$4.06,2.45
2015-12-31,10.35,$4.07,2.54
2015-09-30,9.16,$0.85,10.78
2015-06-30,9.31,$0.86,10.82
2015-03-31,10.52,$0.89,11.82
2014-12-31,9.46,$0.93,10.17
2014-09-30,7.04,$0.98,7.18
2014-06-30,8.26,$1.03,8.02
2014-03-31,9.66,$1.15,8.4
2013-12-31,7.53,$1.25,6.02
2013-09-30,7.4,$0.98,7.56
2013-06-30,7.03,$1.08,6.51
2013-03-31,6.82,$1.14,5.98
2012-12-31,5.94,$1.19,4.99
2012-09-30,5.97,$1.94,3.08
2012-06-30,6.39,$2.04,3.13
2012-03-31,6.79,$2.49,2.73
2011-12-31,6.64,$3.94,1.68
2011-09-30,6.21,$4.92,1.26
2011-06-30,7.06,$5.15,1.37
2011-03-31,6.6,$4.91,1.34
2010-12-31,7.94,$3.48,2.28
2010-09-30,6.64,$1.82,3.65
2010-06-30,5.26,$1.53,3.44
2010-03-31,5.07,$2.88,1.76
2009-12-31,4.32,$2.92,1.48
