Lightwave Logic PE Ratio Historical Data,Lightwave Logic PE Ratio Historical Data,Lightwave Logic PE Ratio Historical Data,Lightwave Logic PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.01,,0.0
2024-12-31,2.1,$-0.14,0.0
2024-09-30,2.76,$-0.18,0.0
2024-06-30,2.99,$-0.18,0.0
2024-03-31,4.68,$-0.18,0.0
2023-12-31,4.98,$-0.18,0.0
2023-09-30,4.47,$-0.18,0.0
2023-06-30,6.97,$-0.18,0.0
2023-03-31,5.23,$-0.16,0.0
2022-12-31,4.31,$-0.14,0.0
2022-09-30,7.34,$-0.18,0.0
2022-06-30,6.54,$-0.18,0.0
