Pembina Pipeline PE Ratio Historical Data,Pembina Pipeline PE Ratio Historical Data,Pembina Pipeline PE Ratio Historical Data,Pembina Pipeline PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,39.98,,18.26
2024-12-31,36.95,$2.19,16.87
2024-09-30,40.49,$2.42,16.73
2024-06-30,35.96,$2.40,14.98
2024-03-31,33.8,$2.30,14.7
2023-12-31,32.47,$2.21,14.69
2023-09-30,27.94,$1.61,17.35
2023-06-30,28.76,$3.67,7.84
2023-03-31,29.17,$3.76,7.76
2022-12-31,30.11,$3.95,7.62
2022-09-30,26.56,$3.72,7.14
2022-06-30,30.5,$2.04,14.95
2022-03-31,32.01,$1.82,17.59
2021-12-31,25.44,$1.57,16.2
2021-09-30,26.16,$-0.24,0.0
2021-06-30,25.81,$-0.66,0.0
2021-03-31,23.05,$-0.70,0.0
2020-12-31,18.58,$-0.72,0.0
2020-09-30,16.34,$1.19,13.73
2020-06-30,18.86,$1.31,14.4
2020-03-31,13.75,$1.95,7.05
2019-12-31,26.67,$1.99,13.4
2019-09-30,26.34,$2.33,11.3
2019-06-30,26.12,$2.29,11.41
2019-03-31,25.49,$1.70,15.0
2018-12-31,20.33,$1.76,11.55
2018-09-30,22.98,$1.91,12.03
2018-06-30,23.1,$1.66,13.92
2018-03-31,20.58,$1.52,13.54
2017-12-31,23.54,$1.42,16.58
2017-09-30,22.55,$0.99,22.78
2017-06-30,21.02,$0.97,21.67
2017-03-31,19.89,$0.97,20.51
2016-12-31,19.43,$0.77,25.23
2016-09-30,18.67,$0.79,23.64
2016-06-30,18.37,$0.82,22.41
2016-03-31,16.13,$0.70,23.05
2015-12-31,12.83,$0.79,16.24
2015-09-30,13.95,$0.73,19.11
2015-06-30,18.53,$0.69,26.85
2015-03-31,17.96,$0.81,22.18
2014-12-31,20.43,$0.93,21.97
2014-09-30,23.41,$1.04,22.51
2014-06-30,23.68,$1.07,22.13
2014-03-31,20.77,$1.18,17.6
2013-12-31,19.01,$1.10,17.28
2013-09-30,17.66,$1.08,16.35
2013-06-30,16.12,$0.98,16.44
2013-03-31,16.43,$0.96,17.11
2012-12-31,14.69,$0.86,17.08
2012-09-30,14.13,$0.86,16.43
2012-06-30,12.69,$0.93,13.65
2012-03-31,13.76,$0.95,14.48
2011-12-31,14.05,$1.01,13.91
2011-09-30,11.61,$1.05,11.06
