Northern Dynasty Minerals PE Ratio Historical Data,Northern Dynasty Minerals PE Ratio Historical Data,Northern Dynasty Minerals PE Ratio Historical Data,Northern Dynasty Minerals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.71,,0.0
2024-09-30,0.33,$-0.04,0.0
2024-06-30,0.31,$-0.04,0.0
2024-03-31,0.32,$-0.04,0.0
2023-12-31,0.32,$-0.04,0.0
2023-09-30,0.33,$-0.04,0.0
2023-06-30,0.24,$-0.04,0.0
2023-03-31,0.24,$-0.04,0.0
2022-12-31,0.22,$-0.04,0.0
2022-09-30,0.24,$-0.04,0.0
2022-06-30,0.26,$-0.05,0.0
2022-03-31,0.42,$-0.06,0.0
2021-12-31,0.33,$-0.07,0.0
2021-09-30,0.46,$-0.08,0.0
2021-06-30,0.49,$-0.10,0.0
2021-03-31,0.63,$-0.10,0.0
2020-12-31,0.32,$-0.10,0.0
2020-09-30,0.98,$-0.11,0.0
2020-06-30,1.43,$-0.11,0.0
2020-03-31,0.39,$-0.05,0.0
2019-12-31,0.43,$-0.07,0.0
2019-09-30,0.59,$-0.07,0.0
2019-06-30,0.6,$-0.08,0.0
2019-03-31,0.6,$-0.19,0.0
2018-12-31,0.57,$-0.18,0.0
2018-09-30,0.56,$-0.18,0.0
2018-06-30,0.54,$-0.18,0.0
2018-03-31,0.91,$-0.18,0.0
2017-12-31,1.77,$-0.16,0.0
2017-09-30,1.8,$-0.14,0.0
2017-06-30,1.39,$-0.11,0.0
2017-03-31,1.43,$-0.06,0.0
2016-12-31,2.07,$-0.08,0.0
2016-09-30,0.71,$-0.12,0.0
2016-06-30,0.31,$-0.15,0.0
2016-03-31,0.32,$-0.16,0.0
2015-12-31,0.31,$-0.17,0.0
2015-09-30,0.31,$-0.20,0.0
2015-06-30,0.34,$-0.21,0.0
2015-03-31,0.39,$-0.25,0.0
2014-12-31,0.41,$-0.13,0.0
2014-09-30,0.55,$-0.02,0.0
2014-06-30,0.84,$0.02,41.85
2014-03-31,0.98,$0.07,14.0
2013-12-31,1.28,$-0.03,0.0
2013-09-30,1.46,$-0.09,0.0
2013-06-30,2.09,$-0.12,0.0
2013-03-31,3.17,$-0.14,0.0
2012-12-31,3.16,$-0.16,0.0
2012-09-30,4.58,$-0.16,0.0
2012-06-30,2.34,$-0.15,0.0
2012-03-31,6.08,$-0.16,0.0
2011-12-31,6.04,$-0.21,0.0
2011-09-30,5.36,$-0.21,0.0
2011-06-30,10.1,$-0.20,0.0
2011-03-31,15.04,$-0.21,0.0
2010-12-31,14.29,$-0.14,0.0
2010-09-30,8.51,$-0.14,0.0
2010-06-30,6.47,$-0.14,0.0
2010-03-31,9.59,$-0.10,0.0
2009-12-31,8.26,$-0.13,0.0
