Rockwell Automation PE Ratio Historical Data,Rockwell Automation PE Ratio Historical Data,Rockwell Automation PE Ratio Historical Data,Rockwell Automation PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,258.09,,32.14
2024-12-31,285.79,$8.03,35.59
2024-09-30,267.22,$8.28,32.27
2024-06-30,272.67,$8.80,30.98
2024-03-31,287.25,$10.23,28.08
2023-12-31,304.77,$10.51,29.0
2023-09-30,279.26,$11.96,23.35
2023-06-30,320.56,$12.26,26.15
2023-03-31,284.3,$11.36,25.03
2022-12-31,248.55,$9.23,26.93
2022-09-30,206.66,$7.97,25.93
2022-06-30,190.65,$5.73,33.27
2022-03-31,266.4,$5.50,48.44
2021-12-31,330.49,$8.58,38.52
2021-09-30,277.64,$11.59,23.95
2021-06-30,269.15,$13.17,20.44
2021-03-31,248.79,$13.58,18.32
2020-12-31,234.07,$11.17,20.96
2020-09-30,205.04,$8.77,23.38
2020-06-30,197.04,$6.59,29.9
2020-03-31,138.88,$6.06,22.92
2019-12-31,185.58,$7.81,23.76
2019-09-30,150.04,$5.81,25.82
2019-06-30,148.22,$8.54,17.36
2019-03-31,157.82,$7.92,19.93
2018-12-31,134.62,$6.81,19.77
2018-09-30,166.81,$4.31,38.7
2018-06-30,147.09,$3.08,47.76
2018-03-31,153.35,$3.17,48.38
2017-12-31,172.08,$2.85,60.38
2017-09-30,155.51,$6.34,24.53
2017-06-30,140.67,$6.20,22.69
2017-03-31,134.59,$5.99,22.47
2016-12-31,115.59,$5.82,19.86
2016-09-30,104.59,$5.57,18.78
2016-06-30,97.57,$5.64,17.3
2016-03-31,96.05,$5.70,16.85
2015-12-31,85.98,$5.93,14.5
2015-09-30,84.44,$6.09,13.87
2015-06-30,103.14,$6.38,16.17
2015-03-31,95.49,$6.29,15.18
2014-12-31,91.04,$6.07,15.0
2014-09-30,89.42,$5.92,15.1
2014-06-30,101.33,$5.66,17.9
2014-03-31,100.34,$5.68,17.67
2013-12-31,94.72,$5.63,16.82
2013-09-30,85.29,$5.36,15.91
2013-06-30,65.96,$5.21,12.66
2013-03-31,68.11,$5.09,13.38
2012-12-31,65.9,$5.01,13.15
2012-09-30,54.24,$5.14,10.55
2012-06-30,51.18,$5.15,9.94
2012-03-31,61.41,$5.05,12.16
2011-12-31,56.24,$5.03,11.18
2011-09-30,42.67,$4.80,8.89
2011-06-30,65.65,$4.32,15.2
2011-03-31,71.32,$3.92,18.2
2010-12-31,53.82,$3.73,14.43
2010-09-30,46.09,$3.22,14.31
2010-06-30,36.4,$2.51,14.5
2010-03-31,41.59,$1.91,21.78
2009-12-31,34.48,$1.25,27.58
