Creative Media & Community Trust PE Ratio Historical Data,Creative Media & Community Trust PE Ratio Historical Data,Creative Media & Community Trust PE Ratio Historical Data,Creative Media & Community Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.26,,0.0
2024-12-31,0.23,$-23.49,0.0
2024-09-30,0.49,$-28.77,0.0
2024-06-30,2.55,$-26.47,0.0
2024-03-31,3.96,$-32.55,0.0
2023-12-31,3.43,$-32.74,0.0
2023-09-30,3.61,$-29.51,0.0
2023-06-30,4.36,$-24.51,0.0
2023-03-31,3.56,$-15.19,0.0
2022-12-31,4.19,$-10.88,0.0
2022-09-30,5.38,$-8.92,0.0
2022-06-30,5.9,$-5.39,0.0
2022-03-31,6.35,$-7.16,0.0
2021-12-31,5.97,$-11.37,0.0
2021-09-30,7.28,$-15.39,0.0
2021-06-30,7.11,$-20.39,0.0
2021-03-31,10.16,$-23.04,0.0
2020-12-31,11.16,$-22.15,0.0
2020-09-30,7.68,$-24.02,0.0
2020-06-30,8.34,$-18.72,0.0
2020-03-31,8.51,$18.14,0.47
2019-12-31,11.04,$207.94,0.05
2019-09-30,11.74,$212.45,0.06
2019-06-30,25.18,$210.58,0.12
2019-03-31,22.2,$177.94,0.12
2018-12-31,18.3,$-9.41,0.0
2018-09-30,16.75,$-6.18,0.0
2018-06-30,17.92,$33.53,0.53
2018-03-31,14.89,$68.82,0.22
2017-12-31,22.3,$138.82,0.16
2017-09-30,19.21,$138.82,0.14
2017-06-30,18.06,$105.00,0.17
2017-03-31,16.04,$71.18,0.23
2016-12-31,15.19,$11.47,1.32
2016-09-30,14.89,$15.00,0.99
2016-06-30,15.53,$13.53,1.15
2016-03-31,17.07,$14.71,1.16
2015-12-31,14.5,$7.35,1.97
2015-09-30,16.92,$3.82,4.43
2015-06-30,16.09,$3.53,4.56
2015-03-31,16.65,$4.71,3.54
2014-12-31,13.34,$4.41,3.02
2014-09-30,19.35,$-1.47,0.0
2014-06-30,18.77,$1.76,10.63
2014-03-31,19.69,$10.88,1.81
2013-12-31,16.92,$27.94,0.61
2013-09-30,17.2,$4.41,3.9
2013-06-30,15.72,$5.88,2.67
2013-03-31,14.17,$-11.77,0.0
2012-12-31,13.16,$-30.88,0.0
2012-09-30,13.67,$7.35,1.86
2012-06-30,13.76,$11.76,1.17
2012-03-31,14.96,$36.76,0.41
2011-12-31,12.02,$51.47,0.23
2011-09-30,13.09,$51.47,0.25
2011-06-30,13.57,$57.35,0.24
2011-03-31,13.99,$55.88,0.25
2010-12-31,13.44,$60.29,0.22
2010-09-30,13.48,$75.00,0.18
2010-06-30,12.51,$85.29,0.15
2010-03-31,10.98,$89.71,0.12
2009-12-31,11.03,$94.12,0.12
