MarketAxess Holdings PE Ratio Historical Data,MarketAxess Holdings PE Ratio Historical Data,MarketAxess Holdings PE Ratio Historical Data,MarketAxess Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,217.82,,29.96
2024-12-31,226.04,$7.27,31.09
2024-09-30,255.49,$7.38,34.62
2024-06-30,199.34,$6.94,28.72
2024-03-31,217.21,$6.81,31.9
2023-12-31,289.15,$6.85,42.21
2023-09-30,210.24,$6.59,31.9
2023-06-30,256.56,$6.71,38.23
2023-03-31,383.09,$6.90,55.52
2022-12-31,272.49,$6.65,40.98
2022-09-30,216.75,$6.44,33.66
2022-06-30,248.77,$6.38,38.99
2022-03-31,329.7,$6.37,51.76
2021-12-31,397.82,$6.77,58.76
2021-09-30,406.28,$7.31,55.58
2021-06-30,447.09,$7.57,59.06
2021-03-31,479.49,$8.00,59.94
2020-12-31,548.8,$7.85,69.91
2020-09-30,462.7,$7.26,63.73
2020-06-30,480.71,$6.90,69.67
2020-03-31,318.77,$5.97,53.39
2019-12-31,362.74,$5.40,67.17
2019-09-30,312.89,$5.29,59.15
2019-06-30,306.63,$4.89,62.71
2019-03-31,234.33,$4.69,49.96
2018-12-31,200.77,$4.57,43.93
2018-09-30,169.24,$4.24,39.92
2018-06-30,187.18,$4.12,45.43
2018-03-31,205.28,$4.05,50.69
2017-12-31,190.06,$3.89,48.86
2017-09-30,173.5,$3.89,44.6
2017-06-30,188.78,$3.81,49.55
2017-03-31,175.69,$3.69,47.61
2016-12-31,137.44,$3.35,41.03
2016-09-30,154.64,$3.12,49.56
2016-06-30,135.57,$2.90,46.75
2016-03-31,116.15,$2.66,43.67
2015-12-31,103.58,$2.54,40.78
2015-09-30,86.17,$2.46,35.03
2015-06-30,85.76,$2.32,36.97
2015-03-31,76.45,$2.16,35.39
2014-12-31,65.97,$1.97,33.49
2014-09-30,56.77,$2.01,28.24
2014-06-30,49.47,$2.03,24.37
2014-03-31,54.03,$2.06,26.23
2013-12-31,60.9,$2.01,30.3
2013-09-30,54.45,$1.94,28.07
2013-06-30,42.35,$1.82,23.27
2013-03-31,33.69,$1.65,20.42
2012-12-31,31.78,$1.59,19.98
2012-09-30,27.25,$1.34,20.34
2012-06-30,22.89,$1.32,17.34
2012-03-31,31.93,$1.28,24.95
2011-12-31,25.7,$1.20,21.42
2011-09-30,22.14,$1.14,19.42
2011-06-30,21.25,$1.02,20.83
2011-03-31,20.43,$0.90,22.7
2010-12-31,17.5,$0.80,21.87
2010-09-30,14.22,$0.71,20.03
2010-06-30,11.5,$0.61,18.85
2010-03-31,13.06,$0.51,25.61
2009-12-31,11.49,$0.42,27.35
