Senstar Technologies PE Ratio Historical Data,Senstar Technologies PE Ratio Historical Data,Senstar Technologies PE Ratio Historical Data,Senstar Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.47,,49.57
2024-09-30,1.59,$0.07,22.71
2024-06-30,1.8,$0.00,0.0
2024-03-31,1.24,$-0.03,0.0
2023-12-31,1.29,$-0.08,0.0
2023-09-30,1.11,$0.05,22.2
2023-06-30,1.21,$0.12,10.08
2023-03-31,1.37,$0.14,9.8
2022-12-31,1.26,$0.17,7.41
2022-09-30,1.73,$-0.12,0.0
2022-06-30,1.97,$-0.19,0.0
2022-03-31,2.63,$0.31,8.48
2021-12-31,2.98,$0.27,11.04
2021-09-30,3.96,$0.39,10.15
2021-06-30,3.34,$0.41,8.14
2021-03-31,3.16,$-0.09,0.0
2020-12-31,2.74,$0.02,136.94
2020-09-30,2.09,$0.09,23.23
2020-06-30,1.68,$0.14,12.01
2020-03-31,1.65,$0.12,13.73
2019-12-31,2.1,$0.08,26.27
2019-09-30,2.36,$0.02,117.8
2019-06-30,2.82,$0.02,140.97
2019-03-31,2.93,$0.10,29.31
2018-12-31,2.49,$0.11,22.67
2018-09-30,3.15,$0.13,24.23
2018-06-30,2.99,$0.06,49.79
2018-03-31,3.23,$-0.15,0.0
2017-12-31,2.84,$-0.30,0.0
2017-09-30,2.69,$-0.18,0.0
2017-06-30,2.76,$-0.13,0.0
2017-03-31,4.22,$-0.11,0.0
2016-12-31,2.84,$0.02,142.09
2016-09-30,2.37,$0.04,59.13
2016-06-30,2.67,$0.05,53.47
2016-03-31,2.79,$0.18,15.48
2015-12-31,2.38,$0.18,13.22
2015-09-30,2.35,$0.21,11.18
2015-06-30,2.44,$0.38,6.43
2015-03-31,3.05,$0.30,10.18
2014-12-31,3.26,$0.21,15.51
2014-09-30,2.4,$-0.12,0.0
2014-06-30,2.13,$-0.36,0.0
2014-03-31,2.06,$-0.33,0.0
2013-12-31,2.0,$-0.28,0.0
2013-09-30,1.95,$-0.05,0.0
2013-06-30,2.02,$0.08,25.29
2013-03-31,2.31,$0.18,12.83
2012-12-31,2.29,$0.25,9.17
2012-09-30,2.12,$0.44,4.83
2012-06-30,2.14,$0.84,2.54
2012-03-31,2.61,$0.79,3.3
2011-12-31,2.1,$0.64,3.28
2011-09-30,1.3,$0.23,5.65
2011-06-30,1.7,$-0.36,0.0
2011-03-31,1.72,$-0.52,0.0
2010-12-31,1.74,$-0.60,0.0
2010-09-30,1.68,$-0.27,0.0
2010-06-30,1.53,$-0.26,0.0
2010-03-31,2.16,$-0.11,0.0
