Alto Ingredients PE Ratio Historical Data,Alto Ingredients PE Ratio Historical Data,Alto Ingredients PE Ratio Historical Data,Alto Ingredients PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.22,,0.0
2024-12-31,1.56,$-0.83,0.0
2024-09-30,1.61,$-0.52,0.0
2024-06-30,1.45,$-0.53,0.0
2024-03-31,2.18,$-0.38,0.0
2023-12-31,2.66,$-0.39,0.0
2023-09-30,4.42,$-0.59,0.0
2023-06-30,2.89,$-0.93,0.0
2023-03-31,1.5,$-0.74,0.0
2022-12-31,2.88,$-0.60,0.0
2022-09-30,3.64,$0.35,10.4
2022-06-30,3.71,$0.69,5.38
2022-03-31,6.82,$0.51,13.37
2021-12-31,4.81,$0.61,7.89
2021-09-30,4.94,$-0.18,0.0
2021-06-30,6.11,$0.11,55.55
2021-03-31,5.43,$0.27,20.11
2020-12-31,5.43,$-0.26,0.0
2020-09-30,7.31,$-0.81,0.0
2020-06-30,0.71,$-1.63,0.0
2020-03-31,0.26,$-2.07,0.0
2019-12-31,0.65,$-1.89,0.0
2019-09-30,0.56,$-1.78,0.0
2019-06-30,0.77,$-1.38,0.0
2019-03-31,0.98,$-1.52,0.0
2018-12-31,0.86,$-1.42,0.0
2018-09-30,1.9,$-1.00,0.0
2018-06-30,2.6,$-0.83,0.0
2018-03-31,3.0,$-0.74,0.0
2017-12-31,4.55,$-0.86,0.0
2017-09-30,5.55,$-0.24,0.0
2017-06-30,6.25,$-0.32,0.0
2017-03-31,6.85,$0.01,685.0
2016-12-31,9.5,$-0.00,0.0
2016-09-30,6.91,$-0.33,0.0
2016-06-30,5.45,$-0.60,0.0
2016-03-31,4.68,$-0.68,0.0
2015-12-31,4.78,$-0.55,0.0
2015-09-30,6.49,$-0.02,0.0
2015-06-30,10.32,$0.49,21.06
2015-03-31,10.79,$1.14,9.46
2014-12-31,10.33,$0.64,16.14
2014-09-30,13.96,$0.68,20.53
2014-06-30,15.29,$0.13,117.62
2014-03-31,15.58,$-0.48,0.0
2013-12-31,5.09,$-0.36,0.0
2013-09-30,3.51,$-1.50,0.0
2013-06-30,3.98,$-1.91,0.0
2013-03-31,5.06,$-2.43,0.0
2012-12-31,4.74,$-2.76,0.0
2012-09-30,5.85,$-2.61,0.0
2012-06-30,5.33,$-0.00,0.0
2012-03-31,16.5,$0.90,18.34
2011-12-31,15.9,$1.80,8.84
2011-09-30,4.34,$-12.44,0.0
2011-06-30,16.2,$-31.03,0.0
2011-03-31,66.15,$118.56,0.56
2010-12-31,75.78,$97.57,0.78
2010-09-30,93.66,$-337.83,0.0
2010-06-30,67.2,$-344.13,0.0
2010-03-31,116.55,$-545.56,0.0
2009-12-31,74.55,$-524.58,0.0
