Offerpad Solutions PE Ratio Historical Data,Offerpad Solutions PE Ratio Historical Data,Offerpad Solutions PE Ratio Historical Data,Offerpad Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.84,,0.0
2024-12-31,2.85,$-2.26,0.0
2024-09-30,4.06,$-2.20,0.0
2024-06-30,4.42,$-2.44,0.0
2024-03-31,8.1,$-2.76,0.0
2023-12-31,10.25,$-4.67,0.0
2023-09-30,9.76,$-11.45,0.0
2023-06-30,12.96,$-15.51,0.0
2023-03-31,0.53,$-14.09,0.0
2022-12-31,0.46,$-9.15,0.0
2022-09-30,1.21,$-1.05,0.0
2022-06-30,2.18,$1.80,1.21
2022-03-31,5.03,$1.20,4.19
2021-12-31,6.4,$-1.20,0.0
2021-09-30,8.72,$-1.95,0.0
