Freightos PE Ratio Historical Data,Freightos PE Ratio Historical Data,Freightos PE Ratio Historical Data,Freightos PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.59,,0.0
2024-09-30,1.44,$-0.34,0.0
2024-06-30,2.38,$-0.43,0.0
2024-03-31,2.45,$-0.44,0.0
2023-12-31,3.33,$-1.72,0.0
