Value Line PE Ratio Historical Data,Value Line PE Ratio Historical Data,Value Line PE Ratio Historical Data,Value Line PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,37.14,,21.47
2025-01-31,39.3,$1.73,22.72
2024-10-31,48.35,$2.35,20.57
2024-07-31,46.97,$2.12,22.16
2024-04-30,35.76,$2.02,17.7
2024-01-31,43.7,$1.94,22.53
2023-10-31,39.87,$1.87,21.32
2023-07-31,51.78,$1.96,26.42
2023-04-30,44.04,$1.91,23.06
2023-01-31,49.42,$1.88,26.29
2022-10-31,50.99,$1.92,26.56
2022-07-31,82.23,$2.35,34.99
2022-04-30,61.85,$2.50,24.74
2022-01-31,55.51,$2.74,20.26
2021-10-31,32.29,$2.78,11.62
2021-07-31,29.81,$2.42,12.32
2021-04-30,28.26,$2.33,12.13
2021-01-31,28.29,$1.98,14.29
2020-10-31,24.91,$1.86,13.39
2020-07-31,22.33,$1.77,12.61
2020-04-30,27.82,$1.62,17.17
2020-01-31,29.39,$1.57,18.72
2019-10-31,17.94,$1.31,13.69
2019-07-31,22.96,$1.21,18.97
2019-04-30,20.22,$1.15,17.58
2019-01-31,18.57,$1.06,17.52
2018-10-31,21.66,$1.74,12.45
2018-07-31,19.56,$1.61,12.15
2018-04-30,16.58,$1.52,10.91
2018-01-31,16.03,$1.49,10.76
2017-10-31,14.79,$0.71,20.83
2017-07-31,14.47,$0.65,22.27
2017-04-30,14.16,$1.07,13.23
2017-01-31,13.97,$1.08,12.94
2016-10-31,14.22,$1.13,12.59
2016-07-31,14.22,$1.18,12.05
2016-04-30,12.78,$0.75,17.04
2016-01-31,12.95,$0.73,17.74
2015-10-31,12.68,$0.75,16.9
2015-07-31,10.3,$0.75,13.74
2015-04-30,10.82,$0.74,14.63
2015-01-31,11.1,$0.80,13.88
2014-10-31,11.44,$0.79,14.48
2014-07-31,12.13,$0.75,16.17
2014-04-30,10.49,$0.69,15.21
2014-01-31,8.89,$0.67,13.27
2013-10-31,6.58,$0.64,10.28
2013-07-31,6.28,$0.64,9.81
2013-04-30,6.39,$0.67,9.53
2013-01-31,6.5,$0.63,10.32
2012-10-31,6.58,$0.64,10.28
2012-07-31,7.73,$0.67,11.53
2012-04-30,7.84,$0.70,11.19
2012-01-31,7.14,$0.87,8.21
2011-10-31,7.91,$3.85,2.06
2011-07-31,6.67,$3.77,1.77
2011-04-30,8.52,$3.79,2.25
2011-01-31,7.91,$3.76,2.1
2010-10-31,10.14,$0.95,10.67
2010-07-31,7.33,$1.07,6.85
2010-04-30,11.29,$-2.32,0.0
2010-01-31,11.7,$-2.21,0.0
2009-10-31,14.08,$-2.19,0.0
