Expeditors Of Washington PE Ratio Historical Data,Expeditors Of Washington PE Ratio Historical Data,Expeditors Of Washington PE Ratio Historical Data,Expeditors Of Washington PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,115.67,,20.22
2024-12-31,110.77,$5.72,19.37
2024-09-30,130.62,$5.13,25.46
2024-06-30,124.04,$4.66,26.62
2024-03-31,120.84,$4.72,25.6
2023-12-31,126.44,$5.00,25.29
2023-09-30,113.3,$5.29,21.42
2023-06-30,119.72,$6.67,17.95
2023-03-31,108.16,$7.64,14.16
2022-12-31,102.07,$8.24,12.39
2022-09-30,86.24,$9.52,9.06
2022-06-30,95.18,$9.07,10.49
2022-03-31,100.13,$8.64,11.59
2021-12-31,130.34,$8.26,15.78
2021-09-30,115.08,$6.76,17.02
2021-06-30,122.3,$5.79,21.12
2021-03-31,103.55,$5.04,20.55
2020-12-31,91.45,$4.08,22.42
2020-09-30,86.54,$3.73,23.2
2020-06-30,72.69,$3.53,20.59
2020-03-31,63.35,$3.32,19.08
2019-12-31,74.08,$3.41,21.73
2019-09-30,70.07,$3.62,19.36
2019-06-30,71.55,$3.62,19.77
2019-03-31,71.08,$3.53,20.14
2018-12-31,63.77,$3.49,18.27
2018-09-30,68.46,$3.39,20.19
2018-06-30,68.06,$3.13,21.74
2018-03-31,58.58,$2.94,19.92
2017-12-31,59.86,$2.70,22.17
2017-09-30,55.04,$2.39,23.03
2017-06-30,51.93,$2.32,22.38
2017-03-31,51.53,$2.35,21.93
2016-12-31,48.31,$2.36,20.47
2016-09-30,46.64,$2.36,19.76
2016-06-30,44.4,$2.39,18.58
2016-03-31,43.83,$2.37,18.49
2015-12-31,40.5,$2.39,16.95
2015-09-30,41.94,$2.29,18.32
2015-06-30,41.1,$2.20,18.68
2015-03-31,42.62,$2.05,20.79
2014-12-31,39.46,$1.92,20.55
2014-09-30,35.64,$1.82,19.58
2014-06-30,38.79,$1.74,22.29
2014-03-31,34.57,$1.73,19.98
2013-12-31,38.6,$1.70,22.7
2013-09-30,38.17,$1.69,22.58
2013-06-30,32.95,$1.66,19.85
2013-03-31,30.71,$1.60,19.2
2012-12-31,34.0,$1.57,21.65
2012-09-30,31.01,$1.60,19.38
2012-06-30,33.06,$1.68,19.68
2012-03-31,39.39,$1.73,22.77
2011-12-31,34.69,$1.79,19.38
2011-09-30,34.14,$1.81,18.86
2011-06-30,43.1,$1.75,24.63
2011-03-31,42.02,$1.73,24.29
2010-12-31,45.75,$1.59,28.77
2010-09-30,38.59,$1.46,26.43
2010-06-30,28.8,$1.29,22.33
2010-03-31,30.66,$1.12,27.37
2009-12-31,28.87,$1.11,26.01
