First Financial Indiana PE Ratio Historical Data,First Financial Indiana PE Ratio Historical Data,First Financial Indiana PE Ratio Historical Data,First Financial Indiana PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,50.05,,12.51
2024-12-31,46.19,$4.00,11.55
2024-09-30,43.39,$3.69,11.76
2024-06-30,36.04,$4.32,8.34
2024-03-31,37.46,$4.69,7.99
2023-12-31,41.57,$5.09,8.17
2023-09-30,32.32,$5.40,5.99
2023-06-30,31.04,$5.53,5.61
2023-03-31,35.29,$5.47,6.45
2022-12-31,42.68,$5.81,7.35
2022-09-30,41.86,$5.02,8.34
2022-06-30,41.22,$4.76,8.66
2022-03-31,39.61,$4.73,8.37
2021-12-31,40.88,$4.01,10.19
2021-09-30,37.96,$4.58,8.29
2021-06-30,36.85,$4.36,8.45
2021-03-31,40.15,$3.99,10.06
2020-12-31,34.22,$3.93,8.71
2020-09-30,27.66,$3.83,7.22
2020-06-30,32.45,$3.74,8.68
2020-03-31,29.27,$3.89,7.52
2019-12-31,39.22,$3.79,10.35
2019-09-30,37.29,$3.64,10.25
2019-06-30,34.45,$3.63,9.49
2019-03-31,35.56,$3.86,9.21
2018-12-31,33.59,$3.80,8.84
2018-09-30,41.99,$3.11,13.5
2018-06-30,37.94,$2.91,13.04
2018-03-31,34.4,$2.34,14.7
2017-12-31,37.09,$2.38,15.58
2017-09-30,37.7,$2.85,13.23
2017-06-30,37.46,$2.80,13.38
2017-03-31,37.24,$2.80,13.3
2016-12-31,41.0,$3.11,13.18
2016-09-30,31.59,$2.99,10.57
2016-06-30,28.44,$2.97,9.58
2016-03-31,26.2,$2.83,9.26
2015-12-31,25.65,$2.35,10.91
2015-09-30,24.42,$2.50,9.77
2015-06-30,27.0,$2.47,10.93
2015-03-31,26.72,$2.56,10.44
2014-12-31,26.14,$2.55,10.25
2014-09-30,22.71,$2.51,9.05
2014-06-30,23.62,$2.53,9.34
2014-03-31,24.34,$2.38,10.23
2013-12-31,26.07,$2.37,11.0
2013-09-30,22.51,$2.35,9.58
2013-06-30,22.1,$2.32,9.52
2013-03-31,22.1,$2.50,8.84
2012-12-31,21.23,$2.48,8.56
2012-09-30,21.64,$2.60,8.32
2012-06-30,20.03,$2.74,7.31
2012-03-31,21.56,$2.72,7.93
2011-12-31,22.6,$2.83,7.99
2011-09-30,18.41,$2.70,6.82
2011-06-30,21.91,$2.43,9.02
2011-03-31,21.91,$2.38,9.21
2010-12-31,23.16,$2.14,10.82
2010-09-30,19.19,$1.95,9.84
2010-06-30,16.79,$2.06,8.15
2010-03-31,18.52,$1.82,10.18
2009-12-31,19.52,$1.74,11.22
