NLight PE Ratio Historical Data,NLight PE Ratio Historical Data,NLight PE Ratio Historical Data,NLight PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.83,,0.0
2024-12-31,10.49,$-1.26,0.0
2024-09-30,10.69,$-1.03,0.0
2024-06-30,10.93,$-1.08,0.0
2024-03-31,13.0,$-1.02,0.0
2023-12-31,13.5,$-0.90,0.0
2023-09-30,10.4,$-1.12,0.0
2023-06-30,15.42,$-1.15,0.0
2023-03-31,10.18,$-1.19,0.0
2022-12-31,10.14,$-1.22,0.0
2022-09-30,9.45,$-0.92,0.0
2022-06-30,10.22,$-0.79,0.0
2022-03-31,17.34,$-0.75,0.0
2021-12-31,23.95,$-0.70,0.0
2021-09-30,28.19,$-0.62,0.0
2021-06-30,36.28,$-0.51,0.0
2021-03-31,32.4,$-0.50,0.0
2020-12-31,32.65,$-0.55,0.0
2020-09-30,23.48,$-0.72,0.0
2020-06-30,22.26,$-0.69,0.0
2020-03-31,10.49,$-0.51,0.0
2019-12-31,20.28,$-0.34,0.0
2019-09-30,15.66,$0.01,0.0
2019-06-30,19.2,$0.13,147.69
2019-03-31,22.28,$0.24,92.83
