Ormat Technologies PE Ratio Historical Data,Ormat Technologies PE Ratio Historical Data,Ormat Technologies PE Ratio Historical Data,Ormat Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,72.02,,35.3
2024-12-31,67.72,$2.04,33.2
2024-09-30,76.82,$1.96,39.2
2024-06-30,71.47,$2.19,32.64
2024-03-31,65.87,$2.22,29.67
2023-12-31,75.29,$2.09,36.02
2023-09-30,69.33,$1.82,38.09
2023-06-30,79.65,$1.55,51.39
2023-03-31,83.8,$1.35,62.08
2022-12-31,85.38,$1.17,72.97
2022-09-30,85.0,$1.19,71.43
2022-06-30,77.16,$1.13,68.28
2022-03-31,80.46,$1.16,69.36
2021-12-31,77.85,$1.10,70.77
2021-09-30,65.29,$1.15,56.78
2021-06-30,68.03,$1.20,56.69
2021-03-31,76.7,$1.42,54.01
2020-12-31,88.05,$1.66,53.04
2020-09-30,57.57,$1.51,38.13
2020-06-30,61.73,$1.50,41.15
2020-03-31,65.68,$1.71,38.41
2019-12-31,72.21,$1.71,42.23
2019-09-30,71.89,$1.83,39.28
2019-06-30,61.25,$1.74,35.2
2019-03-31,53.19,$1.07,49.71
2018-12-31,50.34,$1.44,34.96
2018-09-30,51.98,$2.37,21.93
2018-06-30,51.0,$2.54,20.08
2018-03-31,53.96,$3.24,16.65
2017-12-31,60.95,$3.06,19.92
2017-09-30,58.11,$2.33,24.94
2017-06-30,55.77,$2.19,25.47
2017-03-31,54.17,$1.99,27.22
2016-12-31,50.74,$1.88,26.99
2016-09-30,45.74,$1.78,25.7
2016-06-30,41.29,$2.95,14.0
2016-03-31,38.85,$2.74,14.18
2015-12-31,34.09,$2.36,14.45
2015-09-30,31.76,$2.05,15.49
2015-06-30,35.11,$1.00,35.11
2015-03-31,35.37,$0.92,38.45
2014-12-31,25.23,$1.18,21.38
2014-09-30,24.34,$1.21,20.12
2014-06-30,26.66,$1.13,23.6
2014-03-31,27.71,$1.48,18.72
2013-12-31,25.07,$0.97,25.84
2013-09-30,24.63,$-4.12,0.0
2013-06-30,21.6,$-4.41,0.0
2013-03-31,18.96,$-4.77,0.0
2012-12-31,17.71,$-4.56,0.0
2012-09-30,17.22,$-0.60,0.0
2012-06-30,19.6,$-0.57,0.0
2012-03-31,18.43,$-0.58,0.0
2011-12-31,16.49,$-0.95,0.0
2011-09-30,14.71,$0.10,147.09
2011-06-30,20.09,$0.79,25.43
2011-03-31,23.08,$0.58,39.79
2010-12-31,26.89,$0.82,32.79
2010-09-30,26.47,$1.07,24.74
2010-06-30,25.62,$0.88,29.12
2010-03-31,25.45,$1.26,20.19
2009-12-31,34.08,$1.54,22.13
