Information Services PE Ratio Historical Data,Information Services PE Ratio Historical Data,Information Services PE Ratio Historical Data,Information Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.72,,74.4
2024-12-31,3.34,$0.05,66.8
2024-09-30,3.26,$-0.07,0.0
2024-06-30,2.86,$-0.03,0.0
2024-03-31,3.88,$-0.02,0.0
2023-12-31,4.47,$0.12,37.26
2023-09-30,4.12,$0.27,15.25
2023-06-30,4.99,$0.32,15.6
2023-03-31,4.7,$0.37,12.7
2022-12-31,4.21,$0.40,10.53
2022-09-30,4.33,$0.38,11.38
2022-06-30,6.1,$0.36,16.94
2022-03-31,6.11,$0.34,17.96
2021-12-31,6.81,$0.31,21.95
2021-09-30,6.39,$0.27,23.66
2021-06-30,5.18,$0.22,23.57
2021-03-31,3.88,$0.15,25.86
2020-12-31,2.89,$0.05,57.82
2020-09-30,1.86,$0.06,31.0
2020-06-30,1.82,$0.06,30.41
2020-03-31,2.27,$0.06,37.76
2019-12-31,2.23,$0.07,31.86
2019-09-30,2.19,$0.01,219.03
2019-06-30,2.79,$0.05,55.71
2019-03-31,3.29,$0.09,36.53
2018-12-31,3.74,$0.11,33.98
2018-09-30,4.21,$0.07,60.19
2018-06-30,3.61,$0.02,180.7
2018-03-31,3.68,$-0.04,0.0
2017-12-31,3.68,$-0.05,0.0
2017-09-30,3.54,$-0.21,0.0
2017-06-30,3.62,$-0.22,0.0
2017-03-31,2.78,$-0.17,0.0
2016-12-31,3.21,$-0.18,0.0
2016-09-30,3.52,$0.07,50.24
2016-06-30,3.31,$0.10,33.05
2016-03-31,3.46,$0.08,43.3
2015-12-31,3.19,$0.12,26.59
2015-09-30,3.45,$0.11,31.33
2015-06-30,4.21,$0.12,35.11
2015-03-31,3.52,$0.18,19.54
2014-12-31,3.59,$0.16,22.45
2014-09-30,3.23,$0.17,19.02
2014-06-30,4.09,$0.12,34.11
2014-03-31,4.18,$0.10,41.79
2013-12-31,3.61,$0.13,27.76
2013-09-30,3.52,$0.10,35.23
2013-06-30,1.64,$0.10,16.43
2013-03-31,1.72,$0.06,28.65
2012-12-31,0.98,$0.01,97.87
2012-09-30,1.06,$-1.43,0.0
2012-06-30,1.09,$-1.51,0.0
2012-03-31,1.11,$-1.51,0.0
2011-12-31,0.88,$-1.55,0.0
2011-09-30,0.9,$-0.17,0.0
2011-06-30,1.51,$-1.71,0.0
2011-03-31,1.86,$-1.72,0.0
2010-12-31,1.76,$-1.65,0.0
2010-09-30,1.52,$-1.59,0.0
2010-06-30,1.7,$-0.09,0.0
2010-03-31,2.9,$-0.10,0.0
2009-12-31,2.7,$-0.09,0.0
