Silence Therapeutics PE Ratio Historical Data,Silence Therapeutics PE Ratio Historical Data,Silence Therapeutics PE Ratio Historical Data,Silence Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.7,,0.0
2024-12-31,6.88,$-0.95,0.0
2024-09-30,18.18,$-1.69,0.0
2024-06-30,19.0,$-1.22,0.0
2024-03-31,21.6,$-1.16,0.0
2023-12-31,17.37,$-1.46,0.0
2023-09-30,9.82,$-1.45,0.0
2023-06-30,5.5,$-1.42,0.0
2023-03-31,6.2,$-1.56,0.0
2022-12-31,15.25,$-1.56,0.0
2022-09-30,10.04,$-1.56,0.0
2022-06-30,11.85,$-1.31,0.0
2022-03-31,19.0,$-0.81,0.0
