Aurora Mobile PE Ratio Historical Data,Aurora Mobile PE Ratio Historical Data,Aurora Mobile PE Ratio Historical Data,Aurora Mobile PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.57,,0.0
2024-09-30,6.93,$-0.54,0.0
2024-06-30,2.88,$-0.66,0.0
2024-03-31,3.5,$-1.26,0.0
2023-12-31,2.85,$-1.60,0.0
2023-09-30,55.28,$-2.20,0.0
2023-06-30,110.24,$-2.60,0.0
2023-03-31,234.0,$-2.60,0.0
2022-12-31,256.16,$-3.00,0.0
2022-09-30,395.88,$-3.00,0.0
2022-06-30,424.0,$-3.40,0.0
2022-03-31,440.0,$-3.60,0.0
2021-12-31,416.0,$-3.80,0.0
2021-09-30,668.0,$-5.20,0.0
2021-06-30,1300.0,$-5.20,0.0
2021-03-31,1692.0,$-5.40,0.0
2020-12-31,1424.0,$-5.60,0.0
2020-09-30,616.0,$-4.20,0.0
2020-06-30,636.0,$-4.00,0.0
2020-03-31,920.0,$-3.40,0.0
2019-12-31,1180.0,$-2.80,0.0
2019-09-30,1592.0,$-2.40,0.0
2019-06-30,1900.0,$-2.00,0.0
