Cryo-Cell PE Ratio Historical Data,Cryo-Cell PE Ratio Historical Data,Cryo-Cell PE Ratio Historical Data,Cryo-Cell PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.41,,128.2
2024-11-30,8.67,$0.05,173.4
2024-08-31,6.02,$-1.06,0.0
2024-05-31,7.98,$-1.11,0.0
2024-02-29,5.05,$-1.16,0.0
2023-11-30,5.2,$-1.14,0.0
2023-08-31,5.82,$0.30,19.41
2023-05-31,4.71,$0.28,16.82
2023-02-28,3.71,$0.32,11.59
2022-11-30,4.24,$0.33,12.86
2022-08-31,6.34,$0.15,42.29
2022-05-31,5.28,$0.19,27.77
