Windtree Therapeutics PE Ratio Historical Data,Windtree Therapeutics PE Ratio Historical Data,Windtree Therapeutics PE Ratio Historical Data,Windtree Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.18,,0.0
2024-09-30,2.39,$-823.47,0.0
2024-06-30,3.21,"$-1,385.35",0.0
2024-03-31,6.37,"$-1,814.67",0.0
2023-12-31,12.94,"$-7,194.25",0.0
2023-09-30,17.07,"$-18,228.42",0.0
2023-06-30,22.5,"$-23,300.36",0.0
2023-03-31,89.82,"$-48,354.32",0.0
2022-12-31,3.06,"$-57,113.31",0.0
2022-09-30,5.4,"$-66,097.12",0.0
2022-06-30,7.51,"$-74,190.65",0.0
2022-03-31,20.52,"$-111,510.79",0.0
2021-12-31,28.89,"$-121,402.88",0.0
2021-09-30,37.08,"$-120,503.60",0.0
2021-06-30,41.22,"$-130,845.33",0.0
2021-03-31,44.1,"$-95,323.75",0.0
2020-12-31,92.34,"$-93,974.82",0.0
2020-09-30,99.0,"$-102,520.82",0.0
2020-06-30,126.0,"$-107,919.47",0.0
2020-03-31,43.85,"$-106,573.25",0.0
2019-12-31,43.85,"$-111,971.64",0.0
2019-09-30,43.85,"$-520,735.57",0.0
2019-06-30,43.85,"$-631,358.14",0.0
2019-03-31,43.85,"$-713,650.52",0.0
2018-12-31,43.85,"$-875,537.20",0.0
2018-09-30,43.85,"$-307,584.70",0.0
2018-06-30,43.85,"$-2,028,979.90",0.0
2018-03-31,43.85,"$-3,970,271.40",0.0
2017-12-31,43.85,"$-7,477,816.60",0.0
2017-09-30,877.07,"$-9,686,221.00",0.0
2017-06-30,877.07,"$-10,522,636.00",0.0
2017-03-31,1231.2,"$-11,952,635.00",0.0
