MarketWise PE Ratio Historical Data,MarketWise PE Ratio Historical Data,MarketWise PE Ratio Historical Data,MarketWise PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.52,,3.07
2024-12-31,0.57,$0.17,3.34
2024-09-30,0.67,$0.12,5.57
2024-06-30,1.16,$0.08,14.5
2024-03-31,1.73,$0.04,43.25
2023-12-31,2.73,$0.05,54.6
2023-09-30,1.6,$0.22,7.27
2023-06-30,2.0,$0.05,40.0
2023-03-31,1.85,$0.58,3.19
2022-12-31,1.68,$0.77,2.18
2022-09-30,2.28,$0.60,3.8
2022-06-30,3.6,$0.77,4.68
2022-03-31,4.72,$-14.70,0.0
2021-12-31,7.54,$-14.94,0.0
2021-09-30,8.26,$-14.94,0.0
2021-06-30,9.95,$-14.94,0.0
