Union Bankshares PE Ratio Historical Data,Union Bankshares PE Ratio Historical Data,Union Bankshares PE Ratio Historical Data,Union Bankshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,31.4,,16.1
2024-09-30,25.61,$1.95,13.13
2024-06-30,20.93,$2.22,9.43
2024-03-31,29.34,$2.37,12.38
2023-12-31,29.13,$2.50,11.65
2023-09-30,20.12,$2.59,7.77
2023-06-30,21.46,$2.87,7.48
2023-03-31,20.08,$2.92,6.88
2022-12-31,21.52,$2.81,7.66
2022-09-30,20.0,$2.80,7.14
2022-06-30,22.81,$2.83,8.06
2022-03-31,26.82,$2.85,9.41
2021-12-31,25.44,$2.94,8.65
2021-09-30,27.0,$3.03,8.91
2021-06-30,30.25,$3.08,9.82
2021-03-31,24.83,$3.01,8.25
2020-12-31,21.02,$2.86,7.35
2020-09-30,16.34,$2.62,6.24
2020-06-30,14.83,$2.32,6.39
2020-03-31,17.58,$2.28,7.71
2019-12-31,28.07,$2.38,11.8
2019-09-30,24.2,$1.67,14.49
2019-06-30,28.13,$1.57,17.92
2019-03-31,34.1,$1.55,22.0
2018-12-31,35.77,$1.58,22.64
2018-09-30,39.81,$2.11,18.87
2018-06-30,38.65,$2.12,18.23
2018-03-31,37.61,$2.08,18.08
2017-12-31,38.99,$1.89,20.63
2017-09-30,35.43,$1.99,17.8
2017-06-30,34.55,$1.97,17.54
2017-03-31,31.03,$1.95,15.91
2016-12-31,32.61,$1.91,17.07
2016-09-30,24.23,$1.82,13.31
2016-06-30,25.66,$1.76,14.58
2016-03-31,19.96,$1.74,11.47
2015-12-31,19.31,$1.77,10.91
2015-09-30,18.13,$1.76,10.3
2015-06-30,17.72,$1.78,9.96
2015-03-31,17.0,$1.75,9.71
2014-12-31,15.78,$1.73,9.12
2014-09-30,15.76,$1.64,9.61
2014-06-30,16.2,$1.64,9.88
2014-03-31,14.75,$1.61,9.16
2013-12-31,14.65,$1.60,9.16
2013-09-30,13.27,$1.76,7.54
2013-06-30,13.54,$1.29,10.5
2013-03-31,12.52,$1.21,10.35
2012-12-31,11.88,$1.10,10.8
2012-09-30,11.71,$0.99,11.82
2012-06-30,11.55,$1.31,8.82
2012-03-31,11.23,$1.22,9.2
2011-12-31,11.0,$1.17,9.4
2011-09-30,11.12,$1.09,10.2
2011-06-30,10.98,$1.09,10.07
2011-03-31,10.58,$1.20,8.82
2010-12-31,9.98,$1.24,8.04
2010-09-30,9.75,$1.22,7.99
2010-06-30,9.74,$1.22,7.98
2010-03-31,9.48,$1.16,8.17
2009-12-31,8.8,$1.17,7.52
