Avalon Holdings PE Ratio Historical Data,Avalon Holdings PE Ratio Historical Data,Avalon Holdings PE Ratio Historical Data,Avalon Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.0,,12.0
2024-09-30,2.55,$0.25,10.2
2024-06-30,2.2,$0.01,220.0
2024-03-31,2.23,$-0.27,0.0
2023-12-31,2.39,$-0.45,0.0
2023-09-30,1.94,$-0.49,0.0
2023-06-30,2.55,$-0.42,0.0
2023-03-31,2.65,$-0.26,0.0
2022-12-31,2.75,$-0.15,0.0
2022-09-30,2.65,$-0.02,0.0
2022-06-30,2.6,$-0.07,0.0
2022-03-31,3.28,0,0.0
2021-12-31,3.61,$0.50,7.22
2021-09-30,3.89,$0.74,5.26
2021-06-30,4.69,$0.69,6.8
2021-03-31,3.67,$0.39,9.41
2020-12-31,2.6,0,0.0
2020-09-30,1.75,$-0.23,0.0
2020-06-30,1.61,$-0.39,0.0
2020-03-31,1.29,$-0.16,0.0
2019-12-31,1.92,$-0.11,0.0
2019-09-30,2.21,$-0.47,0.0
2019-06-30,2.49,$-0.30,0.0
2019-03-31,2.58,$-0.26,0.0
2018-12-31,2.65,$-0.31,0.0
2018-09-30,3.72,$0.15,24.8
2018-06-30,2.16,$0.08,27.0
2018-03-31,2.2,$-0.05,0.0
2017-12-31,2.0,$-0.08,0.0
2017-09-30,2.0,$-0.17,0.0
2017-06-30,2.43,$-0.10,0.0
2017-03-31,2.38,$-0.02,0.0
2016-12-31,2.95,$-0.02,0.0
2016-09-30,2.95,$0.03,98.34
2016-06-30,2.33,$-0.04,0.0
2016-03-31,1.88,$-0.15,0.0
2015-12-31,1.89,$-0.18,0.0
2015-09-30,1.92,$-0.23,0.0
2015-06-30,2.4,$-0.35,0.0
2015-03-31,2.75,$-0.38,0.0
2014-12-31,2.62,$-0.29,0.0
2014-09-30,3.72,$-0.27,0.0
2014-06-30,4.31,$-0.19,0.0
2014-03-31,5.22,$-0.05,0.0
2013-12-31,5.2,$0.09,57.78
2013-09-30,5.38,$0.09,59.78
2013-06-30,3.74,$0.01,0.0
2013-03-31,4.12,$-0.03,0.0
2012-12-31,3.82,$-0.09,0.0
2012-09-30,3.85,$0.18,21.39
2012-06-30,3.65,$0.24,15.21
2012-03-31,5.6,$0.19,29.47
2011-12-31,2.9,$0.20,14.49
2011-09-30,2.24,$0.02,112.0
2011-06-30,2.75,$-0.06,0.0
2011-03-31,2.82,$-0.09,0.0
2010-12-31,2.73,$-0.15,0.0
2010-09-30,2.9,$-0.19,0.0
2010-06-30,2.5,$-0.19,0.0
2010-03-31,3.41,$-0.25,0.0
2009-12-31,2.1,$-0.21,0.0
