ESSA Bancorp PE Ratio Historical Data,ESSA Bancorp PE Ratio Historical Data,ESSA Bancorp PE Ratio Historical Data,ESSA Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.25,,11.06
2024-12-31,19.5,$1.74,11.21
2024-09-30,19.08,$1.78,10.72
2024-06-30,17.32,$1.81,9.57
2024-03-31,17.79,$1.85,9.62
2023-12-31,19.37,$1.85,10.47
2023-09-30,14.41,$1.90,7.58
2023-06-30,14.21,$2.03,7.0
2023-03-31,14.8,$2.09,7.08
2022-12-31,19.47,$2.08,9.36
2022-09-30,17.96,$2.05,8.76
2022-06-30,15.45,$1.85,8.35
2022-03-31,16.36,$1.75,9.35
2021-12-31,15.69,$1.71,9.18
2021-09-30,14.83,$1.65,8.99
2021-06-30,14.63,$1.60,9.14
2021-03-31,14.18,$1.56,9.09
2020-12-31,13.2,$1.46,9.04
2020-09-30,10.77,$1.38,7.81
2020-06-30,12.06,$1.03,11.71
2020-03-31,11.74,$0.95,12.36
2019-12-31,14.45,$0.88,16.42
2019-09-30,13.91,$0.82,16.96
2019-06-30,12.84,$1.10,11.67
2019-03-31,12.88,$1.07,12.04
2018-12-31,12.98,$1.02,12.72
2018-09-30,13.43,$0.60,22.39
2018-06-30,13.0,$0.51,25.5
2018-03-31,11.98,$0.41,29.22
2017-12-31,12.72,$0.35,36.34
2017-09-30,12.67,$0.68,18.63
2017-06-30,11.81,$0.63,18.75
2017-03-31,11.63,$0.67,17.36
2016-12-31,12.46,$0.72,17.31
2016-09-30,10.9,$0.73,14.94
2016-06-30,10.5,$0.81,12.96
2016-03-31,10.5,$0.84,12.5
2015-12-31,10.58,$0.85,12.44
2015-09-30,9.95,$0.91,10.94
2015-06-30,9.81,$0.91,10.78
2015-03-31,9.71,$0.92,10.55
2014-12-31,9.02,$0.85,10.62
2014-09-30,8.45,$0.78,10.83
2014-06-30,8.27,$0.75,11.02
2014-03-31,8.02,$0.67,11.97
2013-12-31,8.48,$0.70,12.11
2013-09-30,7.61,$0.76,10.01
2013-06-30,7.96,$0.39,20.42
2013-03-31,7.84,$0.30,26.13
2012-12-31,7.84,$0.19,41.27
2012-09-30,7.44,$0.03,248.13
2012-06-30,7.7,$0.37,20.81
2012-03-31,6.95,$0.41,16.96
2011-12-31,7.39,$0.45,16.42
2011-09-30,7.38,$0.46,16.05
2011-06-30,8.69,$0.39,22.27
2011-03-31,9.19,$0.37,24.84
2010-12-31,9.17,$0.39,23.51
2010-09-30,8.18,$0.36,22.72
2010-06-30,8.47,$0.38,22.28
2010-03-31,8.59,$0.42,20.46
2009-12-31,7.99,$0.41,19.48
