American Battery Technology PE Ratio Historical Data,American Battery Technology PE Ratio Historical Data,American Battery Technology PE Ratio Historical Data,American Battery Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.04,,0.0
2024-12-31,2.46,$-0.97,0.0
2024-09-30,1.07,$-0.98,0.0
2024-06-30,1.25,$-0.97,0.0
