Outset Medical PE Ratio Historical Data,Outset Medical PE Ratio Historical Data,Outset Medical PE Ratio Historical Data,Outset Medical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.28,,0.0
2024-12-31,1.11,$-2.48,0.0
2024-09-30,0.68,$-2.76,0.0
2024-06-30,3.85,$-3.14,0.0
2024-03-31,2.22,$-3.38,0.0
2023-12-31,5.41,$-3.50,0.0
2023-09-30,10.88,$-3.59,0.0
2023-06-30,21.87,$-3.51,0.0
2023-03-31,18.4,$-3.53,0.0
2022-12-31,25.82,$-3.41,0.0
2022-09-30,15.93,$-3.42,0.0
2022-06-30,14.86,$-3.22,0.0
2022-03-31,45.4,$-2.96,0.0
2021-12-31,46.09,$-2.88,0.0
2021-09-30,49.44,$-2.76,0.0
2021-06-30,49.98,$-5.55,0.0
