AMMO PE Ratio Historical Data,AMMO PE Ratio Historical Data,AMMO PE Ratio Historical Data,AMMO PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.4,,0.0
2024-06-30,1.68,$-0.21,0.0
2024-03-31,2.75,$-0.16,0.0
2023-12-31,2.1,$-0.14,0.0
2023-09-30,2.02,$-0.16,0.0
2023-06-30,2.13,$-0.10,0.0
2023-03-31,1.97,$-0.06,0.0
2022-12-31,1.73,$-0.03,0.0
2022-09-30,2.93,$0.08,36.63
2022-06-30,3.85,$0.20,19.25
2022-03-31,4.8,$0.26,18.46
2021-12-31,5.45,$0.25,21.8
2021-09-30,6.15,$0.14,43.93
2021-06-30,9.79,$-0.02,0.0
2021-03-31,5.92,$-0.17,0.0
2020-12-31,3.3,$-0.16,0.0
