Matthews PE Ratio Historical Data,Matthews PE Ratio Historical Data,Matthews PE Ratio Historical Data,Matthews PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.15,,0.0
2024-12-31,27.68,$-1.97,0.0
2024-09-30,23.01,$-1.93,0.0
2024-06-30,24.61,$0.84,29.3
2024-03-31,30.28,$1.06,28.56
2023-12-31,35.43,$1.06,33.42
2023-09-30,37.35,$1.25,29.88
2023-06-30,40.71,$-1.94,0.0
2023-03-31,34.24,$-2.13,0.0
2022-12-31,28.73,$-2.48,0.0
2022-09-30,21.0,$-3.22,0.0
2022-06-30,26.63,$-0.71,0.0
2022-03-31,29.84,$-0.70,0.0
2021-12-31,33.6,$-0.48,0.0
2021-09-30,31.59,$0.08,394.83
2021-06-30,32.54,$0.44,73.95
2021-03-31,35.61,$0.41,86.84
2020-12-31,26.3,$-2.52,0.0
2020-09-30,19.85,$-2.80,0.0
2020-06-30,16.79,$-5.32,0.0
2020-03-31,21.08,$-4.93,0.0
2019-12-31,33.07,$-1.68,0.0
2019-09-30,30.49,$-1.24,0.0
2019-06-30,29.84,$1.97,15.14
2019-03-31,31.63,$2.28,13.87
2018-12-31,34.59,$2.37,14.6
2018-09-30,42.51,$3.37,12.61
2018-06-30,49.65,$3.04,16.33
2018-03-31,42.56,$3.18,13.38
2017-12-31,44.26,$3.07,14.42
2017-09-30,52.0,$2.25,23.11
2017-06-30,51.03,$2.39,21.35
2017-03-31,56.22,$2.21,25.44
2016-12-31,63.71,$2.18,29.22
2016-09-30,50.25,$2.04,24.63
2016-06-30,45.91,$1.81,25.36
2016-03-31,42.34,$1.78,23.79
2015-12-31,43.83,$1.64,26.73
2015-09-30,40.05,$1.95,20.54
2015-06-30,43.36,$1.60,27.1
2015-03-31,41.92,$1.60,26.2
2014-12-31,39.5,$1.72,22.96
2014-09-30,35.52,$1.56,22.77
2014-06-30,33.56,$1.92,17.48
2014-03-31,32.85,$1.87,17.57
2013-12-31,34.21,$1.97,17.37
2013-09-30,30.5,$1.98,15.4
2013-06-30,30.12,$1.93,15.6
2013-03-31,27.81,$1.86,14.95
2012-12-31,25.49,$1.89,13.49
2012-09-30,23.6,$1.99,11.86
2012-06-30,25.63,$2.23,11.49
2012-03-31,24.89,$2.39,10.41
2011-12-31,24.66,$2.41,10.23
2011-09-30,24.05,$2.46,9.78
2011-06-30,31.37,$2.42,12.96
2011-03-31,30.04,$2.36,12.73
2010-12-31,27.2,$2.33,11.67
2010-09-30,27.43,$2.31,11.87
2010-06-30,22.67,$2.16,10.49
2010-03-31,27.43,$2.08,13.19
2009-12-31,27.32,$1.97,13.87
