Citius Pharmaceuticals PE Ratio Historical Data,Citius Pharmaceuticals PE Ratio Historical Data,Citius Pharmaceuticals PE Ratio Historical Data,Citius Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.55,,0.0
2024-12-31,4.0,$-4.05,0.0
2024-09-30,12.52,$-4.25,0.0
2024-06-30,14.59,$-6.00,0.0
2024-03-31,22.43,$-6.00,0.0
2023-12-31,18.91,$-6.50,0.0
2023-09-30,17.11,$-5.50,0.0
2023-06-30,30.0,$-5.00,0.0
2023-03-31,29.25,$-5.00,0.0
2022-12-31,19.75,$-4.50,0.0
2022-09-30,30.25,$-5.50,0.0
2022-06-30,23.0,$-5.00,0.0
2022-03-31,44.75,$-4.75,0.0
2021-12-31,38.5,$-4.50,0.0
2021-09-30,50.75,$-6.75,0.0
2021-06-30,87.0,$-7.75,0.0
2021-03-31,44.5,$-9.25,0.0
2020-12-31,25.5,$-11.50,0.0
2020-09-30,26.0,$-11.50,0.0
2020-06-30,28.25,$-9.75,0.0
2020-03-31,15.0,$-12.00,0.0
2019-12-31,25.5,$-13.75,0.0
2019-09-30,18.94,$-15.50,0.0
2019-06-30,24.5,$-20.00,0.0
2019-03-31,35.5,$-19.75,0.0
2018-12-31,26.0,$-25.75,0.0
2018-09-30,42.75,$-20.25,0.0
2018-06-30,57.5,$-15.75,0.0
