Graham PE Ratio Historical Data,Graham PE Ratio Historical Data,Graham PE Ratio Historical Data,Graham PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,31.41,,37.84
2024-12-31,44.47,$0.83,53.58
2024-09-30,29.59,$0.71,41.68
2024-06-30,28.16,$0.45,62.58
2024-03-31,27.28,$0.43,63.44
2023-12-31,18.97,$0.26,72.96
2023-09-30,16.6,$0.27,61.48
2023-06-30,13.28,$0.21,63.24
2023-03-31,13.08,$0.02,654.0
2022-12-31,9.62,$-0.06,0.0
2022-09-30,8.79,$-0.44,0.0
2022-06-30,6.92,$-0.47,0.0
2022-03-31,7.71,$-0.84,0.0
2021-12-31,12.44,$-0.67,0.0
2021-09-30,12.3,$-0.21,0.0
2021-06-30,13.53,$0.11,123.03
2021-03-31,13.9,$0.24,57.91
2020-12-31,14.71,$0.26,56.58
2020-09-30,12.28,$0.15,81.88
2020-06-30,12.15,0,0.0
2020-03-31,12.19,$0.19,64.18
2019-12-31,20.55,$-0.33,0.0
2019-09-30,18.56,$-0.32,0.0
2019-06-30,18.78,$-0.25,0.0
2019-03-31,18.16,$-0.02,0.0
2018-12-31,21.03,$0.53,39.67
2018-09-30,25.83,$-0.67,0.0
2018-06-30,23.58,$-0.86,0.0
2018-03-31,19.5,$-1.00,0.0
2017-12-31,18.97,$-0.91,0.0
2017-09-30,18.79,$0.47,39.98
2017-06-30,17.65,$0.60,29.42
2017-03-31,20.56,$0.51,40.32
2016-12-31,19.73,$0.38,51.91
2016-09-30,16.93,$0.32,52.89
2016-06-30,16.24,$0.39,41.64
2016-03-31,17.47,$0.61,28.64
2015-12-31,14.68,$0.97,15.13
2015-09-30,15.34,$1.23,12.47
2015-06-30,17.73,$1.44,12.31
2015-03-31,20.66,$1.45,14.25
2014-12-31,24.71,$1.27,19.45
2014-09-30,24.66,$1.02,24.18
2014-06-30,29.82,$0.87,34.27
2014-03-31,27.25,$1.01,26.98
2013-12-31,31.01,$1.19,26.06
2013-09-30,30.85,$1.35,22.85
2013-06-30,25.62,$1.35,18.98
2013-03-31,21.08,$1.11,18.99
2012-12-31,16.6,$0.74,22.43
2012-09-30,15.36,$0.60,25.6
2012-06-30,15.81,$0.89,17.77
2012-03-31,18.55,$1.05,17.67
2011-12-31,19.02,$1.28,14.86
2011-09-30,14.09,$1.20,11.74
2011-06-30,17.25,$0.81,21.3
2011-03-31,20.23,$0.60,33.71
2010-12-31,16.88,$0.39,43.29
2010-09-30,13.09,$0.39,33.55
2010-06-30,12.62,$0.38,33.21
2010-03-31,15.13,$0.64,23.64
2009-12-31,17.39,$0.93,18.7
