Graco PE Ratio Historical Data,Graco PE Ratio Historical Data,Graco PE Ratio Historical Data,Graco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,83.28,,29.53
2024-12-31,84.29,$2.82,29.89
2024-09-30,87.25,$2.83,30.83
2024-06-30,78.8,$2.89,27.27
2024-03-31,92.63,$2.90,31.94
2023-12-31,85.73,$2.94,29.16
2023-09-30,71.79,$3.04,23.61
2023-06-30,84.82,$2.94,28.85
2023-03-31,71.48,$2.84,25.17
2022-12-31,65.63,$2.67,24.58
2022-09-30,58.29,$2.62,22.25
2022-06-30,57.56,$2.54,22.66
2022-03-31,66.9,$2.49,26.87
2021-12-31,77.15,$2.52,30.61
2021-09-30,66.78,$2.49,26.82
2021-06-30,72.07,$2.56,28.15
2021-03-31,68.02,$2.10,32.39
2020-12-31,68.54,$1.91,35.88
2020-09-30,57.96,$1.74,33.31
2020-06-30,45.19,$1.57,28.78
2020-03-31,45.72,$1.91,23.93
2019-12-31,48.62,$2.00,24.31
2019-09-30,42.9,$1.94,22.11
2019-06-30,46.61,$1.99,23.42
2019-03-31,45.86,$1.99,23.04
2018-12-31,38.61,$1.97,19.6
2018-09-30,42.61,$1.75,24.35
2018-06-30,41.46,$1.64,25.23
2018-03-31,41.8,$1.59,26.23
2017-12-31,41.34,$1.45,28.45
2017-09-30,37.59,$0.63,59.35
2017-06-30,33.1,$0.52,64.05
2017-03-31,28.4,$0.35,80.37
2016-12-31,24.96,$0.24,105.46
2016-09-30,22.13,$1.16,19.08
2016-06-30,23.52,$1.13,20.82
2016-03-31,24.91,$1.80,13.84
2015-12-31,21.27,$1.95,10.93
2015-09-30,19.7,$1.90,10.37
2015-06-30,20.78,$1.94,10.73
2015-03-31,21.03,$1.33,15.85
2014-12-31,23.27,$1.22,19.13
2014-09-30,21.1,$1.19,17.78
2014-06-30,22.49,$1.16,19.39
2014-03-31,21.45,$1.11,19.32
2013-12-31,22.34,$1.12,19.95
2013-09-30,21.11,$1.11,19.02
2013-06-30,17.95,$1.01,17.71
2013-03-31,16.41,$0.89,18.37
2012-12-31,14.49,$0.81,17.97
2012-09-30,14.09,$0.75,18.87
2012-06-30,12.84,$0.75,17.2
2012-03-31,14.73,$0.76,19.29
2011-12-31,11.29,$0.77,14.6
2011-09-30,9.37,$0.75,12.44
2011-06-30,13.85,$0.72,19.24
2011-03-31,12.38,$0.65,18.94
2010-12-31,10.68,$0.56,18.95
2010-09-30,8.54,$0.51,16.74
2010-06-30,7.54,$0.44,17.13
2010-03-31,8.5,$0.37,23.19
2009-12-31,7.54,$0.27,27.93
