Flex LNG PE Ratio Historical Data,Flex LNG PE Ratio Historical Data,Flex LNG PE Ratio Historical Data,Flex LNG PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,22.94,,10.52
2024-12-31,22.94,$2.18,10.52
2024-09-30,24.67,$1.70,14.51
2024-06-30,25.5,$2.22,11.48
2024-03-31,23.34,$2.54,9.19
2023-12-31,25.9,$2.23,11.61
2023-09-30,26.12,$2.64,9.89
2023-06-30,25.81,$2.67,9.67
2023-03-31,27.71,$2.78,9.97
2022-12-31,26.2,$3.52,7.44
2022-09-30,24.88,$4.05,6.14
2022-06-30,20.69,$3.80,5.45
2022-03-31,20.96,$3.21,6.53
2021-12-31,16.72,$3.04,5.5
2021-09-30,12.37,$2.22,5.57
2021-06-30,9.87,$1.67,5.91
2021-03-31,5.82,$1.31,4.44
2020-12-31,5.51,$0.16,34.44
2020-09-30,3.57,$0.12,29.74
2020-06-30,2.87,$0.06,47.89
2020-03-31,3.15,$0.11,28.66
