GAN PE Ratio Historical Data,GAN PE Ratio Historical Data,GAN PE Ratio Historical Data,GAN PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.78,,0.0
2024-09-30,1.77,$-0.30,0.0
2024-06-30,1.48,$-0.52,0.0
2024-03-31,1.27,$-0.90,0.0
2023-12-31,1.58,$-0.78,0.0
2023-09-30,1.16,$-4.03,0.0
2023-06-30,1.64,$-4.01,0.0
2023-03-31,1.29,$-4.50,0.0
2022-12-31,1.5,$-4.64,0.0
2022-09-30,2.22,$-1.38,0.0
2022-06-30,2.96,$-1.41,0.0
2022-03-31,4.82,$-0.57,0.0
2021-12-31,9.19,$-0.57,0.0
2021-09-30,14.87,$-0.64,0.0
2021-06-30,16.44,$-0.59,0.0
2021-03-31,18.2,$-0.85,0.0
