Timken PE Ratio Historical Data,Timken PE Ratio Historical Data,Timken PE Ratio Historical Data,Timken PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,74.69,,14.97
2024-12-31,71.37,$4.99,14.3
2024-09-30,83.9,$4.81,17.44
2024-06-30,79.43,$4.88,16.28
2024-03-31,86.35,$5.25,16.45
2023-12-31,78.84,$5.46,14.44
2023-09-30,71.95,$5.95,12.09
2023-06-30,89.24,$5.90,15.12
2023-03-31,79.32,$5.59,14.19
2022-12-31,68.35,$5.48,12.47
2022-09-30,56.86,$4.98,11.42
2022-06-30,50.86,$4.94,10.3
2022-03-31,57.89,$4.88,11.86
2021-12-31,65.79,$4.79,13.73
2021-09-30,61.86,$4.66,13.27
2021-06-30,75.89,$4.68,16.22
2021-03-31,76.17,$4.14,18.4
2020-12-31,72.31,$3.73,19.39
2020-09-30,50.48,$4.52,11.17
2020-06-30,42.14,$4.20,10.03
2020-03-31,29.75,$4.58,6.5
2019-12-31,51.52,$4.71,10.94
2019-09-30,39.6,$4.00,9.9
2019-06-30,46.4,$4.07,11.4
2019-03-31,39.18,$4.03,9.72
2018-12-31,33.31,$3.86,8.63
2018-09-30,44.18,$3.46,12.77
2018-06-30,38.37,$3.23,11.88
2018-03-31,39.95,$3.11,12.85
2017-12-31,42.8,$2.57,16.65
2017-09-30,42.03,$2.51,16.75
2017-06-30,39.79,$2.09,19.04
2017-03-31,38.67,$1.62,23.87
2016-12-31,33.76,$1.92,17.59
2016-09-30,29.68,$1.17,25.37
2016-06-30,25.7,$1.66,15.48
2016-03-31,27.85,$1.52,18.33
2015-12-31,23.58,$-0.80,0.0
2015-09-30,22.48,$0.11,204.38
2015-06-30,29.67,$-0.80,0.0
2015-03-31,33.97,$-0.55,0.0
2014-12-31,34.2,$1.89,18.1
2014-09-30,33.77,$1.97,17.14
2014-06-30,38.2,$2.67,14.31
2014-03-31,32.97,$2.85,11.57
2013-12-31,30.75,$2.72,11.31
2013-09-30,33.63,$2.95,11.4
2013-06-30,31.25,$3.24,9.65
2013-03-31,31.33,$4.24,7.39
2012-12-31,26.41,$5.05,5.23
2012-09-30,20.44,$5.38,3.8
2012-06-30,25.09,$5.67,4.42
2012-03-31,27.71,$5.03,5.51
2011-12-31,21.08,$4.58,4.6
2011-09-30,17.81,$4.38,4.07
2011-06-30,27.25,$3.98,6.85
2011-03-31,28.2,$3.64,7.75
2010-12-31,25.67,$2.81,9.14
2010-09-30,20.57,$1.69,12.17
2010-06-30,13.9,$0.45,30.89
2010-03-31,16.0,$-1.10,0.0
2009-12-31,12.61,$-1.39,0.0
