Mid-America Apartment Communities PE Ratio Historical Data,Mid-America Apartment Communities PE Ratio Historical Data,Mid-America Apartment Communities PE Ratio Historical Data,Mid-America Apartment Communities PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,162.57,,36.29
2024-12-31,154.57,$4.48,34.5
2024-09-30,157.38,$4.43,35.53
2024-06-30,139.78,$4.39,31.84
2024-03-31,127.51,$4.77,26.73
2023-12-31,128.88,$4.71,27.36
2023-09-30,122.02,$5.01,24.35
2023-06-30,142.75,$5.12,27.88
2023-03-31,140.64,$5.70,24.67
2022-12-31,144.92,$5.49,26.4
2022-09-30,141.94,$5.42,26.19
2022-06-30,158.67,$5.10,31.11
2022-03-31,189.27,$5.16,36.68
2021-12-31,206.31,$4.61,44.75
2021-09-30,167.06,$3.73,44.79
2021-06-30,149.82,$3.52,42.56
2021-03-31,127.53,$2.29,55.69
2020-12-31,111.04,$2.20,50.47
2020-09-30,100.81,$2.78,36.26
2020-06-30,98.82,$2.94,33.61
2020-03-31,88.02,$2.82,31.21
2019-12-31,111.8,$3.06,36.53
2019-09-30,109.43,$2.29,47.79
2019-06-30,98.34,$2.07,47.51
2019-03-31,90.51,$2.06,43.94
2018-12-31,78.45,$1.93,40.65
2018-09-30,81.32,$2.48,32.79
2018-06-30,80.97,$3.02,26.81
2018-03-31,72.65,$2.92,24.88
2017-12-31,79.27,$2.86,27.72
2017-09-30,83.59,$2.22,37.65
2017-06-30,81.7,$2.34,34.92
2017-03-31,78.22,$2.49,31.41
2016-12-31,74.6,$2.71,27.53
2016-09-30,70.93,$2.84,24.98
2016-06-30,79.7,$2.94,27.11
2016-03-31,75.93,$4.18,18.17
2015-12-31,66.85,$4.41,15.16
2015-09-30,59.71,$4.30,13.89
2015-06-30,52.57,$3.97,13.24
2015-03-31,55.22,$2.56,21.57
2014-12-31,52.86,$1.95,27.11
2014-09-30,45.96,$1.37,33.55
2014-06-30,50.64,$1.52,33.31
2014-03-31,46.82,$2.49,18.8
2013-12-31,41.16,$2.79,14.75
2013-09-30,41.89,$3.43,12.21
2013-06-30,44.96,$3.13,14.36
2013-03-31,45.37,$2.45,18.52
2012-12-31,42.08,$2.55,16.5
2012-09-30,42.01,$2.52,16.67
2012-06-30,43.47,$2.15,20.22
2012-03-31,42.28,$1.66,25.47
2011-12-31,39.03,$1.30,30.02
2011-09-30,37.17,$1.01,36.81
2011-06-30,41.28,$0.75,55.04
2011-03-31,38.89,$0.59,65.92
2010-12-31,38.07,$0.56,67.99
2010-09-30,34.6,$0.57,60.7
2010-06-30,30.21,$0.58,52.08
2010-03-31,30.04,$0.79,38.03
2009-12-31,27.65,$0.86,32.15
