Olin PE Ratio Historical Data,Olin PE Ratio Historical Data,Olin PE Ratio Historical Data,Olin PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.88,,27.64
2024-12-31,33.8,$0.90,37.56
2024-09-30,47.75,$1.24,38.51
2024-06-30,46.7,$2.27,20.57
2024-03-31,58.03,$2.78,20.87
2023-12-31,53.05,$3.54,14.99
2023-09-30,48.92,$4.54,10.77
2023-06-30,50.13,$5.90,8.5
2023-03-31,53.94,$7.53,7.16
2022-12-31,51.28,$8.85,5.79
2022-09-30,41.38,$9.31,4.45
2022-06-30,44.5,$9.51,4.68
2022-03-31,50.1,$8.92,5.62
2021-12-31,54.9,$7.95,6.91
2021-09-30,45.9,$5.85,7.85
2021-06-30,43.82,$-1.20,0.0
2021-03-31,35.81,$-4.13,0.0
2020-12-31,23.02,$-6.15,0.0
2020-09-30,11.49,$-6.43,0.0
2020-06-30,10.47,$-1.49,0.0
2020-03-31,10.47,$-0.85,0.0
2019-12-31,15.28,$-0.09,0.0
2019-09-30,16.41,$0.72,22.8
2019-06-30,19.0,$1.61,11.8
2019-03-31,19.87,$2.08,9.55
2018-12-31,17.13,$1.95,8.79
2018-09-30,21.67,$4.52,4.79
2018-06-30,24.08,$3.67,6.56
2018-03-31,25.33,$3.28,7.72
2017-12-31,29.46,$3.24,9.09
2017-09-30,28.2,$0.45,62.68
2017-06-30,24.77,$0.25,99.08
2017-03-31,26.71,$0.28,95.39
2016-12-31,20.67,$-0.03,0.0
2016-09-30,16.41,$-0.50,0.0
2016-06-30,19.68,$-0.53,0.0
2016-03-31,13.64,$0.02,681.98
2015-12-31,13.35,$0.42,31.78
2015-09-30,12.87,$0.95,13.55
2015-06-30,20.46,$1.20,17.05
2015-03-31,24.15,$1.13,21.38
2014-12-31,17.04,$1.33,12.81
2014-09-30,18.74,$1.48,12.66
2014-06-30,19.83,$2.01,9.86
2014-03-31,20.19,$2.08,9.71
2013-12-31,20.93,$2.21,9.47
2013-09-30,16.6,$2.33,7.12
2013-06-30,17.07,$1.82,9.38
2013-03-31,17.85,$1.87,9.54
2012-12-31,15.15,$1.85,8.19
2012-09-30,15.1,$1.65,9.15
2012-06-30,14.38,$1.88,7.65
2012-03-31,14.83,$1.81,8.19
2011-12-31,13.28,$2.99,4.44
2011-09-30,12.04,$2.78,4.33
2011-06-30,14.98,$2.60,5.76
2011-03-31,15.03,$2.29,6.56
2010-12-31,13.32,$0.81,16.44
2010-09-30,12.95,$1.07,12.11
2010-06-30,11.51,$1.17,9.84
2010-03-31,12.35,$1.32,9.36
2009-12-31,10.89,$1.74,6.26
