ASML Holding PE Ratio Historical Data,ASML Holding PE Ratio Historical Data,ASML Holding PE Ratio Historical Data,ASML Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,734.06,,35.29
2024-12-31,693.08,$20.80,33.32
2024-09-30,831.33,$19.10,43.52
2024-06-30,1018.43,$18.53,54.96
2024-03-31,964.42,$19.58,49.26
2023-12-31,750.9,$21.51,34.91
2023-09-30,582.52,$20.61,28.26
2023-06-30,715.58,$19.70,36.32
2023-03-31,670.14,$18.10,37.02
2022-12-31,536.72,$16.38,32.77
2022-09-30,406.75,$16.69,24.37
2022-06-30,464.93,$17.39,26.74
2022-03-31,644.11,$16.66,38.66
2021-12-31,767.75,$16.93,45.35
2021-09-30,716.7,$15.77,45.45
2021-06-30,664.5,$13.71,48.47
2021-03-31,592.13,$12.64,46.85
2020-12-31,467.79,$9.81,47.68
2020-09-30,352.83,$8.94,39.47
2020-06-30,351.64,$7.64,46.03
2020-03-31,248.75,$6.94,35.84
2019-12-31,281.36,$7.34,38.33
2019-09-30,235.17,$6.48,36.29
2019-06-30,196.84,$6.68,29.47
2019-03-31,176.03,$7.04,25.0
2018-12-31,145.67,$7.16,20.35
2018-09-30,176.0,$6.81,25.84
2018-06-30,185.32,$6.47,28.64
2018-03-31,184.25,$5.92,31.12
2017-12-31,161.29,$5.49,29.38
2017-09-30,158.86,$5.05,31.46
2017-06-30,120.92,$4.57,26.46
2017-03-31,122.02,$4.42,27.61
2016-12-31,103.09,$3.81,27.06
2016-09-30,100.68,$3.22,31.27
2016-06-30,91.15,$3.01,30.28
2016-03-31,91.07,$3.04,29.96
2015-12-31,80.53,$3.52,22.88
2015-09-30,79.81,$3.59,22.23
2015-06-30,94.47,$3.47,27.22
2015-03-31,91.01,$3.75,24.27
2014-12-31,97.13,$3.38,28.74
2014-09-30,89.02,$4.03,22.09
2014-06-30,84.02,$3.90,21.54
2014-03-31,83.24,$3.33,25.0
2013-12-31,83.54,$3.01,27.75
2013-09-30,88.05,$2.42,36.39
2013-06-30,70.53,$2.94,23.96
2013-03-31,60.06,$3.40,17.64
2012-12-31,56.88,$4.26,13.35
2012-09-30,49.4,$4.52,10.93
2012-06-30,47.32,$4.90,9.66
2012-03-31,45.6,$5.58,8.16
2011-12-31,38.0,$6.12,6.21
2011-09-30,31.41,$6.60,4.76
2011-06-30,33.61,$6.15,5.47
2011-03-31,39.91,$5.21,7.66
2010-12-31,34.38,$3.95,8.7
2010-09-30,26.66,$2.56,10.4
2010-06-30,24.63,$1.61,15.28
2010-03-31,31.75,$0.29,110.3
2009-12-31,30.36,$-0.61,0.0
