Tredegar PE Ratio Historical Data,Tredegar PE Ratio Historical Data,Tredegar PE Ratio Historical Data,Tredegar PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.6,,30.4
2024-12-31,7.68,$0.25,30.72
2024-09-30,7.29,$-0.79,0.0
2024-06-30,4.79,$-2.15,0.0
2024-03-31,6.52,$-2.97,0.0
2023-12-31,5.41,$-3.10,0.0
2023-09-30,5.41,$-2.17,0.0
2023-06-30,6.67,$-0.67,0.0
2023-03-31,8.94,$0.33,27.1
2022-12-31,9.86,$0.85,11.6
2022-09-30,9.0,$1.59,5.66
2022-06-30,9.41,$1.75,5.38
2022-03-31,11.16,$1.94,5.75
2021-12-31,10.9,$1.72,6.34
2021-09-30,11.11,$1.11,10.01
2021-06-30,12.44,$-1.03,0.0
2021-03-31,13.46,$-1.33,0.0
2020-12-31,14.87,$-2.27,0.0
2020-09-30,7.41,$-2.38,0.0
2020-06-30,7.62,$0.08,95.27
2020-03-31,7.68,$0.19,40.4
2019-12-31,10.86,$1.46,7.44
2019-09-30,9.44,$2.34,4.03
2019-06-30,7.99,$0.80,9.98
2019-03-31,7.7,$0.80,9.63
2018-12-31,7.52,$0.75,10.03
2018-09-30,10.19,$-0.58,0.0
2018-06-30,11.01,$0.70,15.72
2018-03-31,8.37,$1.60,5.23
2017-12-31,8.9,$1.16,7.67
2017-09-30,8.29,$1.75,4.74
2017-06-30,6.98,$1.87,3.73
2017-03-31,7.98,$0.63,12.67
2016-12-31,10.85,$0.74,14.66
2016-09-30,8.36,$0.51,16.4
2016-06-30,7.21,$-0.99,0.0
2016-03-31,6.98,$-1.07,0.0
2015-12-31,6.0,$-0.99,0.0
2015-09-30,5.72,$-0.41,0.0
2015-06-30,9.59,$1.08,8.88
2015-03-31,8.68,$1.17,7.42
2014-12-31,9.67,$1.13,8.55
2014-09-30,7.87,$1.02,7.72
2014-06-30,9.97,$0.87,11.46
2014-03-31,9.76,$0.80,12.2
2013-12-31,12.18,$0.67,18.18
2013-09-30,10.96,$0.71,15.44
2013-06-30,10.81,$0.73,14.8
2013-03-31,12.34,$0.92,13.42
2012-12-31,8.54,$0.88,9.7
2012-09-30,7.11,$0.54,13.16
2012-06-30,5.81,$0.71,8.19
2012-03-31,7.79,$0.66,11.81
2011-12-31,8.82,$0.78,11.31
2011-09-30,5.87,$1.02,5.76
2011-06-30,7.24,$0.90,8.05
2011-03-31,8.49,$0.87,9.76
2010-12-31,7.61,$0.83,9.17
2010-09-30,7.43,$0.89,8.35
2010-06-30,6.38,$0.93,6.86
2010-03-31,6.66,$0.97,6.87
2009-12-31,6.16,$-0.05,0.0
