Jabil PE Ratio Historical Data,Jabil PE Ratio Historical Data,Jabil PE Ratio Historical Data,Jabil PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,143.83,,46.1
2025-02-28,154.92,$3.12,49.65
2024-11-30,135.83,$10.43,13.02
2024-08-31,109.21,$11.02,9.91
2024-05-31,118.74,$10.99,10.8
2024-02-29,143.79,$11.65,12.34
2023-11-30,115.02,$5.86,19.63
2023-08-31,114.05,$6.00,19.01
2023-05-31,89.17,$7.10,12.56
2023-02-28,82.62,$6.90,11.97
2022-11-30,71.76,$6.89,10.42
2022-08-31,59.87,$6.91,8.66
2022-05-31,61.01,$5.82,10.48
2022-02-28,57.25,$5.42,10.56
2021-11-30,57.81,$4.90,11.8
2021-08-31,61.02,$4.58,13.32
2021-05-31,55.68,$3.86,14.43
2021-02-28,42.52,$2.40,17.72
2020-11-30,37.58,$1.39,27.03
2020-08-31,33.5,$0.34,98.54
2020-05-31,29.29,$0.24,122.03
2020-02-29,31.28,$0.86,36.37
2019-11-30,37.83,$1.31,28.88
2019-08-31,28.0,$1.81,15.47
2019-05-31,23.9,$1.13,21.15
2019-02-28,27.52,$1.10,25.02
2018-11-30,24.13,$0.88,27.42
2018-08-31,28.47,$0.47,60.58
2018-05-31,27.16,$1.06,25.63
2018-02-28,25.95,$0.67,38.73
2017-11-30,27.55,$0.57,48.33
2017-08-31,29.85,$0.69,43.26
2017-05-31,28.41,$0.64,44.39
2017-02-28,24.16,$0.81,29.82
2016-11-30,19.97,$1.11,17.99
2016-08-31,19.93,$1.32,15.1
2016-05-31,17.88,$1.57,11.39
2016-02-29,19.44,$1.91,10.18
2015-11-30,23.76,$1.77,13.42
2015-08-31,17.91,$1.46,12.26
2015-05-31,22.64,$0.88,25.73
2015-02-28,20.18,$1.44,14.01
2014-11-30,18.99,$0.98,19.38
2014-08-31,19.68,$1.18,16.67
2014-05-31,17.09,$1.92,8.9
2014-02-28,16.74,$1.23,13.61
2013-11-30,18.25,$1.85,9.86
2013-08-31,20.47,$1.79,11.43
2013-05-31,17.93,$1.57,11.42
2013-02-28,16.67,$1.81,9.21
2012-11-30,16.84,$1.84,9.15
2012-08-31,20.1,$1.87,10.75
2012-05-31,16.82,$2.00,8.41
2012-02-29,22.62,$1.99,11.37
2011-11-30,17.69,$1.78,9.94
2011-08-31,14.65,$1.73,8.47
2011-05-31,18.68,$1.48,12.62
2011-02-28,18.49,$1.25,14.79
2010-11-30,13.0,$1.14,11.4
2010-08-31,8.78,$0.78,11.25
2010-05-31,11.65,$0.54,21.58
2010-02-28,12.85,$0.16,80.32
2009-11-30,11.22,$-0.18,0.0
