NextTrip PE Ratio Historical Data,NextTrip PE Ratio Historical Data,NextTrip PE Ratio Historical Data,NextTrip PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.55,,0.0
2024-11-30,3.82,$-3.04,0.0
2024-08-31,2.59,$-2.69,0.0
2024-05-31,2.37,$-1.55,0.0
2024-02-29,2.99,$-1.57,0.0
2023-11-30,3.71,$-1.57,0.0
2023-09-30,3.06,$-3.97,0.0
2023-08-31,4.56,$-3.97,0.0
2023-06-30,6.98,$-5.80,0.0
2023-05-31,7.27,$-5.80,0.0
2023-03-31,8.8,$-3.40,0.0
2023-02-28,11.9,$-3.40,0.0
2022-12-31,8.0,0,0.0
2022-09-30,16.3,0,0.0
2022-06-30,25.6,0,0.0
2022-03-31,40.8,0,0.0
2021-12-31,36.8,0,0.0
2021-09-30,60.4,0,0.0
2021-06-30,78.0,0,0.0
2021-03-31,74.4,0,0.0
2020-12-31,67.6,0,0.0
2020-09-30,44.8,0,0.0
2020-06-30,53.4,0,0.0
2020-03-31,55.2,0,0.0
2019-12-31,196.4,0,0.0
2019-09-30,140.02,0,0.0
2019-06-30,280.0,0,0.0
2019-03-31,336.0,0,0.0
2018-12-31,300.0,0,0.0
2018-09-30,230.0,0,0.0
2018-06-30,188.0,0,0.0
2018-03-31,288.0,0,0.0
2017-12-31,430.0,0,0.0
